step,t,rel_energy_diff,max_rel_coord_diff
2020,34.1410364434051538,2.84776e-29,8.83263e-28
2040,34.2589667940623479,2.84776e-29,8.3092e-28
2060,34.396342821510841,2.84778e-29,8.24442e-28
2080,34.5018681136452057,2.84777e-29,8.4744e-28
2100,34.7133506584533626,2.84775e-29,8.77469e-28
2120,34.874270796250977,2.8478e-29,5.75188e-28
2140,35.4796002909367054,2.84777e-29,1.4446e-27
2160,37.3430072066653268,2.84777e-29,5.74051e-27
2180,37.6913474987065617,2.84779e-29,9.84124e-27
2200,38.2099344642759422,2.84777e-29,6.43288e-27
2220,40.1642395545657702,2.84776e-29,1.12769e-26
2240,40.6144393151997688,2.84775e-29,2.32953e-26
2260,41.0103574523406741,2.84775e-29,2.05416e-26
2280,41.1798722165637352,2.84771e-29,3.14916e-26
2300,41.2053843060804823,2.84713e-29,5.53634e-26
2320,41.2103037177038602,2.84655e-29,7.19116e-26
2340,41.219471744278463,2.84833e-29,2.93871e-26
2360,41.279804349452679,2.84819e-29,2.42104e-26
2380,41.69229239695094,2.84818e-29,2.83371e-26
2400,41.914535690974314,2.84817e-29,3.31265e-26
2420,42.3176256706313216,2.84816e-29,3.20982e-26
2440,44.675291576289108,2.84816e-29,9.52187e-26
2460,45.9251413910843273,2.84816e-29,4.01263e-25
2480,46.0045046255247775,2.84797e-29,9.4859e-25
2500,46.0138408517274439,2.84914e-29,1.6018e-24
2520,46.0193060339272825,2.84728e-29,1.14079e-24
2540,46.0460387421151498,2.84816e-29,4.7395e-25
2560,46.2331433103524823,2.84809e-29,3.36442e-25
2580,46.5556342935224664,2.84808e-29,5.90957e-25
2600,47.1485102956196188,2.84808e-29,6.1701e-25
2620,47.3513025429908339,2.84808e-29,1.52226e-24
2640,47.3686554074276747,2.84772e-29,3.88984e-24
2660,47.3710590403651318,2.85256e-29,5.38398e-24
2680,47.3734566959038918,2.84348e-29,3.83643e-24
2700,47.3875896231837556,2.84122e-29,1.72813e-24
2720,47.5063197206691076,2.84116e-29,6.85324e-25
2740,49.0559171117056723,2.84114e-29,1.4016e-24
2760,49.6838970547256366,2.84127e-29,4.29885e-24
2780,49.7258529785936268,2.84208e-29,1.15958e-23
2800,49.7301841105817306,2.87222e-29,2.86929e-23
2820,49.7313868851976033,2.84597e-29,2.62251e-23
2840,49.7350903169971323,2.85337e-29,1.36913e-23
2860,49.762511886366785,2.85498e-29,5.99347e-24
2880,50.017016058763908,2.8551e-29,2.03129e-24
2900,51.8542532719154592,2.85509e-29,3.62938e-24
2920,52.0940300109744748,2.85498e-29,1.06781e-23
2940,52.1138687066156218,2.85205e-29,2.83819e-23
2960,52.1162189722469922,2.87539e-29,5.74382e-23
2980,52.1175337662150238,2.86143e-29,4.13509e-23
3000,52.1238662607178128,2.84344e-29,1.98779e-23
3020,52.1743151650749996,2.84231e-29,8.60464e-24
3040,52.7026976115044177,2.8423e-29,4.35807e-24
3060,54.3797834753214105,2.84227e-29,7.84524e-24
3080,54.4930765242761009,2.84262e-29,2.06762e-23
3100,54.5034021316420229,2.82201e-29,5.38377e-23
3120,54.5049315074959362,2.91373e-29,6.62416e-23
3140,54.5067529152564352,2.85292e-29,4.96614e-23
3160,54.517971413926222,2.8584e-29,2.31998e-23
3180,54.6124629772542072,2.85878e-29,9.92032e-24
3200,55.8722997347034274,2.85879e-29,9.6965e-24
3220,56.8262845064015438,2.8588e-29,1.46847e-23
3240,56.8815177225564329,2.85858e-29,3.61691e-23
3260,56.8870176840945846,2.87558e-29,8.93745e-23
3280,56.8882629205662915,2.84498e-29,8.9685e-23
3300,56.8913606979018808,2.85528e-29,5.106e-23
3320,56.9135064461829983,2.85387e-29,2.3843e-23
3340,57.1133595496926178,2.85393e-29,1.37266e-23
3360,58.8722288243931245,2.85392e-29,2.96946e-23
