sample,step,t,dx_m1,dv_m1,dx_m2,dv_m2,dx_m3,dv_m3,dx_m4,dv_m4,dx_m5,dv_m5,dx_m6,dv_m6,dx_m7,dv_m7
24,480,8.7588538340456356,1.076497e-12,1.238622e-10,1.339890e-12,1.466920e-10,2.212175e-12,2.533192e-10,1.481439e-12,1.735274e-10,1.089042e-12,1.197750e-10,3.313040e-12,3.794101e-10,1.657144e-12,1.864219e-10
25,500,8.75976019456817657,2.682780e-12,5.028324e-10,3.215690e-12,5.926231e-10,5.498829e-12,1.027731e-09,3.748501e-12,7.054905e-10,2.625262e-12,4.838356e-10,8.237485e-12,1.538987e-09,4.062308e-12,7.550080e-10
26,520,8.76058995249114095,1.556953e-12,1.045858e-10,1.763680e-12,1.223208e-10,3.170287e-12,2.135533e-10,2.213405e-12,1.470728e-10,1.444916e-12,9.987496e-11,4.747019e-12,3.197013e-10,2.296989e-12,1.564665e-10
27,540,8.76531691636737134,8.992066e-13,1.185452e-11,9.862393e-13,1.395726e-11,1.825451e-12,2.422561e-11,1.291413e-12,1.663683e-11,8.103319e-13,1.139212e-11,2.733078e-12,3.627343e-11,1.308122e-12,1.778949e-11
28,560,8.80259934959098681,4.788403e-13,1.771229e-12,4.982276e-13,1.958614e-12,9.681046e-13,3.588880e-12,6.992715e-13,2.525465e-12,4.122462e-13,1.594276e-12,1.450265e-12,5.359327e-12,6.816104e-13,2.579060e-12
29,580,9.09577148740312974,4.142465e-13,5.952602e-13,2.783713e-13,2.542442e-13,7.798296e-13,1.095160e-12,6.719460e-13,9.801062e-13,2.390874e-13,2.127093e-13,1.146921e-12,1.581289e-12,4.541557e-13,5.865238e-13
30,600,9.83351175388498813,5.762575e-13,9.848803e-13,5.184793e-13,1.009812e-12,1.136955e-12,1.955468e-12,8.676056e-13,1.429204e-12,4.111405e-13,7.733581e-13,1.674101e-12,2.874288e-12,7.501570e-13,1.330748e-12
31,620,10.1029937776161025,4.911981e-13,1.257973e-12,3.863150e-13,6.539866e-13,9.259480e-13,2.326870e-12,8.029834e-13,1.999645e-12,3.128924e-13,4.587073e-13,1.363342e-12,3.314470e-12,5.972932e-13,1.275658e-12
32,640,10.7523647209310874,6.362058e-13,1.378588e-12,5.526194e-13,7.270002e-13,1.015825e-12,2.263046e-12,1.211050e-12,2.564876e-12,5.245681e-13,7.203250e-13,1.377810e-12,3.115021e-12,5.969650e-13,6.769375e-13
33,660,11.4626833451803582,1.539907e-12,6.139705e-12,7.522984e-13,2.890496e-12,2.487849e-12,9.948393e-12,2.903263e-12,1.154951e-11,7.980738e-13,3.101235e-12,3.395448e-12,1.359518e-11,6.607476e-13,2.686615e-12
34,680,11.5975569532909419,2.386565e-12,5.497784e-11,1.310680e-12,2.434595e-11,3.819647e-12,8.952621e-11,4.542961e-12,1.030548e-10,1.388906e-12,2.626414e-11,5.181363e-12,1.226313e-10,1.124444e-12,2.509960e-11
35,700,11.6541173198407471,2.064758e-12,2.561935e-11,1.157344e-12,1.092810e-11,3.298842e-12,4.183901e-11,3.937235e-12,4.792413e-11,1.224359e-12,1.182898e-11,4.469981e-12,5.738765e-11,1.015333e-12,1.198094e-11
36,720,11.9056627592430767,9.913454e-13,3.467378e-12,6.568285e-13,1.359151e-12,1.672473e-12,5.803971e-12,1.808180e-12,6.361855e-12,6.282627e-13,1.430806e-12,2.329562e-12,8.059481e-12,6.717050e-13,1.966803e-12
37,740,13.5796379081065395,8.019696e-13,2.692880e-12,1.480510e-12,5.119881e-12,1.000474e-12,3.313784e-12,1.792741e-12,6.055148e-12,1.445836e-12,5.028388e-12,1.462179e-12,3.914318e-12,7.896675e-13,1.369118e-12
38,760,14.4111144842799166,2.725870e-12,6.441585e-12,4.947544e-12,1.128435e-11,3.424111e-12,8.210585e-12,6.069269e-12,1.423191e-11,4.838105e-12,1.101603e-11,4.054519e-12,9.805653e-12,1.222361e-12,2.604699e-12
39,780,14.6017004794909443,4.939438e-12,5.032044e-11,8.088846e-12,8.999826e-11,6.457978e-12,6.368770e-11,1.077593e-11,1.116461e-10,7.902249e-12,8.766960e-11,7.841348e-12,7.565271e-11,1.692338e-12,2.153316e-11
40,800,14.7052263641047119,3.927208e-12,2.005023e-11,6.282044e-12,3.583334e-11,5.176654e-12,2.539003e-11,8.531454e-12,4.448296e-11,6.140922e-12,3.489599e-11,6.318313e-12,3.016514e-11,1.248091e-12,8.557958e-12
