step,t,rel_energy_diff,max_rel_coord_diff
0,0.0,0.0,0.0
20,1.73879235105077297,2.35645e-16,1.83955e-17
40,1.8660664087402419,1.24217e-15,4.9858e-17
60,1.87781243911671278,7.35399e-14,7.34463e-17
80,1.87924141175993614,2.14055e-13,1.39677e-16
100,1.88009010958559329,1.41269e-13,7.88973e-17
120,1.88426515596973972,4.85057e-14,6.64342e-17
140,1.91697980821923139,4.17177e-14,1.02634e-16
160,2.21977280432004719,4.19671e-14,2.87091e-15
180,2.96041518964568289,4.18059e-14,1.6777e-14
200,3.3336339291006184,4.1978e-14,3.56398e-14
220,3.72965846554474973,4.22448e-14,8.69658e-14
240,3.79173966252363391,4.05247e-14,1.78906e-13
260,3.80420033148588133,5.0472e-14,2.68715e-13
280,3.83062580465938686,3.55561e-14,1.03137e-13
300,4.02183519443959449,3.57924e-14,5.01372e-14
320,5.97480722185248169,3.57733e-14,1.68308e-13
340,6.79497072187611186,3.52973e-14,5.6199e-13
360,6.88598627153433828,3.95162e-14,1.50249e-12
380,6.9137686090668278,3.26153e-14,1.37359e-12
400,7.00942127355453305,3.9432e-14,5.80081e-13
420,7.88406774123889907,3.94567e-14,2.13463e-13
440,8.68366724926137081,3.95335e-14,1.29701e-13
460,8.75222794308534943,3.90669e-14,2.29223e-13
480,8.7588538340456356,6.50064e-14,3.80525e-13
500,8.75976019456817657,2.77398e-13,9.7637e-13
520,8.76058995249114095,2.65342e-13,5.8709e-13
540,8.76531691636737134,3.16409e-13,3.45502e-13
560,8.80259934959098681,3.18247e-13,1.88189e-13
580,9.09577148740312974,3.18321e-13,1.81413e-13
600,9.83351175388498813,3.18554e-13,2.82097e-13
620,10.1029937776161025,3.18443e-13,2.96485e-13
640,10.7523647209310874,3.18514e-13,5.39599e-13
660,11.4626833451803582,3.18405e-13,1.65823e-12
680,11.5975569532909419,3.1868e-13,2.68555e-12
700,11.6541173198407471,3.17264e-13,2.35406e-12
720,11.9056627592430767,3.17192e-13,1.07789e-12
740,13.5796379081065395,3.17154e-13,1.1692e-12
760,14.4111144842799166,3.17178e-13,3.38944e-12
780,14.6017004794909443,3.1804e-13,5.68645e-12
800,14.7052263641047119,3.17074e-13,4.36264e-12
820,15.2298921077297909,3.16826e-13,1.69833e-12
840,15.7641004077530397,3.16659e-13,3.22981e-12
860,15.8237897186192259,3.07307e-13,7.41728e-12
880,15.8293388748404208,5.01883e-13,1.6194e-11
900,15.8298607216125112,2.82245e-12,3.32332e-11
920,15.8299129505596078,1.0564e-11,6.40346e-11
940,15.829921091904476,5.379e-10,1.17234e-10
960,15.8299317237887145,3.50337e-11,6.54773e-11
980,15.8299977680742615,7.50736e-11,3.46668e-11
1000,15.8305212782393674,7.15581e-11,1.71161e-11
1020,15.834851072724904,7.1511e-11,8.36137e-12
1040,15.8710434080383848,7.15153e-11,3.7669e-12
1060,16.1498668236856584,7.15142e-11,2.74533e-12
1080,16.857067781349776,7.15141e-11,2.20818e-11
1100,17.0113885355653876,7.15131e-11,2.73029e-11
1120,17.1915926188493624,7.15145e-11,3.39179e-11
1140,17.8858915629480265,7.15143e-11,6.70654e-11
1160,19.2561986432262287,7.15143e-11,2.25093e-10
1180,19.7448077072171208,7.15145e-11,4.89957e-10
1200,19.8280597967573841,7.15155e-11,6.62936e-10
1220,19.9923259826264894,7.15151e-11,3.45355e-10
1240,20.8062886571676833,7.15152e-11,2.29448e-10
1260,21.5739872029082851,7.15152e-11,4.87678e-10
1280,21.8428631760748037,7.15152e-11,7.33103e-10
1300,22.3111981211174648,7.1515e-11,3.26708e-10
1320,22.8796950107519759,7.15151e-11,6.37869e-10
1340,22.9566203108750212,7.15128e-11,1.49074e-9
1360,22.9646914997090475,7.14876e-11,2.58817e-9
1380,22.9665223221782733,7.16034e-11,3.56499e-9
1400,22.9710534266924419,7.15443e-11,1.50132e-9
1420,23.0030503945280178,7.1551e-11,8.50667e-10
1440,23.2650894394034157,7.15515e-11,3.84913e-10
1460,24.3322030019339925,7.15515e-11,5.75019e-10
1480,24.5128313604619459,7.15514e-11,1.71442e-9
1500,24.5474710039276135,7.15515e-11,1.9137e-9
1520,24.6227246055127902,7.15503e-11,9.80106e-10
