sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err,rel_phase_err
0,0,0.0,0.0,0.0,0.0,3.88938e-62,1.55498e-61,1.54868e-73
1,100000,1953.060246,12265.308319952680983,1.4081e-14,5.8773e-15,1.19559e-10,2.09365e-10,1.27356e-11
2,200000,3906.16620614,24530.903726807122101,1.79749e-14,8.59047e-15,3.93471e-10,3.9876e-10,6.18445e-11
3,300000,5859.44215529,36797.566672472531402,2.76255e-14,9.80335e-15,4.71878e-10,3.63275e-10,1.27678e-10
4,400000,7812.82575206,49064.905650102663484,2.83851e-14,1.46489e-14,1.27167e-9,1.25692e-9,2.05059e-10
5,500000,9765.94234486,61330.567830580244919,2.3496e-14,1.60769e-14,2.60707e-9,4.6465e-9,2.74994e-10
6,600000,11719.0096438,73595.920443443382163,2.33652e-14,2.01352e-14,3.54399e-9,8.10499e-9,3.2754e-10
7,700000,13672.080821,85861.29741182339164,3.32035e-14,2.4295e-14,3.61652e-9,5.52323e-9,4.17598e-10
8,800000,15625.2089793,98127.032223713288244,2.8834e-14,2.67446e-14,2.81614e-9,2.54533e-9,5.02865e-10
9,900000,17578.59434,110394.38227918336242,2.13481e-14,2.85921e-14,2.20567e-9,1.70187e-9,5.78562e-10
10,1000000,19531.8649263,122661.01154621200851,1.87066e-14,2.70941e-14,4.47368e-9,5.10053e-9,6.33725e-10
11,1100000,21484.9612467,134926.54641464843465,3.09503e-14,2.66006e-14,7.17965e-9,1.44708e-8,7.08054e-10
12,1200000,23438.0255424,147191.8801672778726,4.77325e-14,2.96055e-14,8.71041e-9,1.8865e-8,8.27495e-10
13,1300000,25391.1045853,159457.30653238219632,4.67885e-14,3.1128e-14,7.63147e-9,1.01096e-8,9.66812e-10
14,1400000,27344.2642235,171723.23904015997102,5.47269e-14,3.70738e-14,5.43543e-9,4.4932e-9,1.11772e-9
15,1500000,29297.7042198,183990.93220919664848,5.21638e-14,3.50016e-14,5.75226e-9,4.6122e-9,1.2674e-9
