sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err,rel_phase_err
0,0,0.0,0.0,0.0,0.0,1.68371e-72,1.55498e-61,1.54868e-73
1,100000,1953.060246,12265.308319951814996,3.52266e-15,3.37232e-16,5.69129e-11,9.96434e-11,6.06115e-12
2,200000,3906.16620614,24530.903726805243545,1.66815e-14,5.27277e-15,2.25858e-10,2.28994e-10,3.55143e-11
3,300000,5859.44215529,36797.566672471467439,2.15091e-14,7.44865e-15,3.26619e-10,2.51629e-10,8.84336e-11
4,400000,7812.82575206,49064.905650098494785,1.91658e-14,6.07566e-15,9.18977e-10,9.08073e-10,1.48147e-10
5,500000,9765.94234486,61330.567830573886871,1.35352e-14,7.21371e-15,1.87183e-9,3.33544e-9,1.97402e-10
6,600000,11719.0096438,73595.920443435431127,1.60448e-14,7.35727e-15,2.68277e-9,6.13523e-9,2.47938e-10
7,700000,13672.080821,85861.297411814095539,1.77486e-14,6.29908e-15,2.5736e-9,3.93101e-9,2.97213e-10
8,800000,15625.2089793,98127.032223703451056,2.45959e-14,8.12294e-15,2.04386e-9,1.84775e-9,3.65043e-10
9,900000,17578.59434,110394.38227917659911,2.74852e-14,7.27887e-15,1.65493e-9,1.27652e-9,4.3396e-10
10,1000000,19531.8649263,122661.01154619829236,3.52365e-14,7.92864e-15,3.6999e-9,4.21773e-9,5.24044e-10
11,1100000,21484.9612467,134926.54641463198946,3.64629e-14,7.26621e-15,6.35283e-9,1.2805e-8,6.26544e-10
12,1200000,23438.0255424,147191.88016725915562,2.8468e-14,3.86519e-15,7.61668e-9,1.64983e-8,7.23681e-10
13,1300000,25391.1045853,159457.3065323621432,2.3428e-14,1.46501e-15,6.38087e-9,8.45405e-9,8.08485e-10
14,1400000,27344.2642235,171723.23904014115997,2.26217e-14,4.72982e-15,4.28027e-9,3.53827e-9,8.80175e-10
15,1500000,29297.7042198,183990.93220917771845,2.71419e-14,2.83511e-15,4.29982e-9,3.44663e-9,9.47116e-10
16,1600000,31250.8959035,196257.06596389237251,3.04636e-14,2.18222e-15,8.06504e-9,1.07109e-8,1.01964e-9
17,1700000,33203.9783476,208522.51368919689694,1.71908e-14,1.13828e-15,1.15767e-8,2.55087e-8,1.09029e-9
18,1800000,35157.0423455,220787.84557128893342,2.20289e-14,1.95166e-15,1.148e-8,2.26363e-8,1.1459e-9
19,1900000,37110.1327655,233053.34338503584414,1.79112e-14,1.39176e-16,8.63466e-9,9.94763e-9,1.21366e-9
20,2000000,39063.3384968,245319.56535963408451,1.0079e-14,4.58013e-15,5.21428e-9,4.08153e-9,1.24574e-9
21,2100000,41016.7755329,257587.23993883134364,1.9653e-14,8.59997e-17,6.91219e-9,6.0558e-9,1.2868e-9
22,2200000,42969.9212958,269853.08530866463753,1.52012e-14,4.64735e-15,1.15711e-8,1.79128e-8,1.32486e-9
23,2300000,44922.994377,282118.47423408210238,7.23214e-15,6.13302e-15,1.47174e-8,3.3876e-8,1.35596e-9
24,2400000,46876.0606996,294383.82071520717856,1.04304e-14,7.65688e-15,1.28775e-8,2.24865e-8,1.37444e-9
25,2500000,48829.1670964,306649.41886466993321,1.6235e-14,7.61463e-15,9.00952e-9,9.10929e-9,1.42091e-9
26,2600000,50782.4451976,318916.095324882851,2.15622e-14,7.73016e-15,5.43457e-9,4.18526e-9,1.47395e-9
27,2700000,52735.826791,331183.4217216560245,2.30275e-14,7.59146e-15,9.58286e-9,9.49633e-9,1.53939e-9
28,2800000,54688.9428159,343449.08033576867134,2.91761e-14,5.92452e-15,1.53461e-8,2.74318e-8,1.61544e-9
29,2900000,56642.0100127,355714.43230672864375,3.11526e-14,2.76993e-15,1.84236e-8,4.21068e-8,1.70353e-9
