sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err,rel_phase_err
0,0,0.0,0.0,0.0,0.0,3.88938e-62,1.55498e-61,1.54868e-73
1,100000,1953.060246,12265.308319953452378,1.6448e-14,1.92003e-15,3.15622e-10,5.52756e-10,3.36233e-11
2,200000,3906.16620614,24530.903726808297557,1.42334e-14,4.03022e-15,5.4393e-10,5.51362e-10,8.55117e-11
3,300000,5859.44215529,36797.566672472241131,1.36338e-14,2.31235e-15,4.73897e-10,3.64905e-10,1.2825e-10
4,400000,7812.82575206,49064.905650104488952,1.73424e-14,3.81233e-15,1.07236e-9,1.05968e-9,1.72881e-10
5,500000,9765.94234486,61330.567830583276277,2.59388e-14,6.10178e-15,2.20769e-9,3.93447e-9,2.32854e-10
6,600000,11719.0096438,73595.920443447384879,2.79913e-14,8.41736e-15,3.38204e-9,7.73571e-9,3.12616e-10
7,700000,13672.080821,85861.297411827570789,2.7302e-14,9.49292e-15,3.32598e-9,5.08072e-9,3.84138e-10
8,800000,15625.2089793,98127.032223715821186,2.99367e-14,8.8668e-15,2.54472e-9,2.30027e-9,4.54446e-10
9,900000,17578.59434,110394.38227917705033,2.77681e-14,6.76483e-15,2.08048e-9,1.60413e-9,5.45347e-10
10,1000000,19531.8649263,122661.01154621617596,2.14881e-14,6.88192e-15,4.3762e-9,4.98921e-9,6.19896e-10
11,1100000,21484.9612467,134926.54641465487655,1.53906e-14,6.46309e-15,6.90444e-9,1.39193e-8,6.81069e-10
12,1200000,23438.0255424,147191.88016728451177,1.92594e-14,2.41036e-15,7.56872e-9,1.63974e-8,7.19253e-10
13,1300000,25391.1045853,159457.30653238722436,2.21444e-14,2.10736e-15,6.1128e-9,8.09966e-9,7.74592e-10
14,1400000,27344.2642235,171723.23904015827853,3.40551e-14,7.82732e-15,4.17384e-9,3.44964e-9,8.58128e-10
15,1500000,29297.7042198,183990.93220919016651,3.8578e-14,9.73599e-15,4.38342e-9,3.51312e-9,9.65393e-10
16,1600000,31250.8959035,196257.06596392314477,4.28856e-14,1.23059e-14,8.60935e-9,1.14353e-8,1.0886e-9
17,1700000,33203.9783476,208522.51368923364064,4.07373e-14,1.11937e-14,1.28497e-8,2.83172e-8,1.21033e-9
18,1800000,35157.0423455,220787.84557132787678,4.53733e-14,1.19831e-14,1.3493e-8,2.66068e-8,1.3469e-9
19,1900000,37110.1327655,233053.34338507231764,3.82719e-14,1.16634e-14,1.05055e-8,1.21021e-8,1.47651e-9
20,2000000,39063.3384968,245319.56535965013884,3.71057e-14,1.36515e-14,6.64851e-9,5.20278e-9,1.58796e-9
21,2100000,41016.7755329,257587.23993885976303,5.10705e-14,1.7627e-14,9.3015e-9,8.14995e-9,1.73179e-9
22,2200000,42969.9212958,269853.08530871064385,5.35329e-14,1.77744e-14,1.65484e-8,2.56208e-8,1.89495e-9
