sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err,rel_phase_err
0,0,0.0,0.0,0.0,0.0,3.88938e-62,1.55498e-61,1.54868e-73
1,100000,1953.060246,12265.30831995255481,7.83986e-16,1.65599e-15,2.48618e-11,4.3528e-11,2.64706e-12
2,200000,3906.16620614,24530.903726806660418,4.09782e-15,2.86736e-15,6.52322e-11,6.60048e-11,1.02356e-11
3,300000,5859.44215529,36797.566672470826789,1.35178e-14,2.70922e-15,1.18346e-10,9.094e-11,3.19664e-11
4,400000,7812.82575206,49064.90565010098623,1.12434e-14,1.25572e-15,4.23876e-10,4.19093e-10,6.83743e-11
5,500000,9765.94234486,61330.56783057814209,1.0413e-15,4.208e-15,8.00426e-10,1.42731e-9,8.44717e-11
6,600000,11719.0096438,73595.920443441017016,2.75288e-15,3.31774e-15,9.57e-10,2.18985e-9,8.84956e-11
7,700000,13672.080821,85861.297411820556338,8.19209e-15,8.45717e-15,6.93385e-10,1.05936e-9,8.00944e-11
8,800000,15625.2089793,98127.032223710229475,1.90412e-14,1.0584e-14,2.70533e-10,2.44201e-10,4.82462e-11
9,900000,17578.59434,110394.3822791793918,1.66402e-14,1.0747e-14,7.53032e-11,5.8738e-11,1.99647e-11
10,1000000,19531.8649263,122661.01154620833184,2.21242e-14,1.00162e-14,5.8616e-10,6.679e-10,8.29858e-11
11,1100000,21484.9612467,134926.54641464484782,1.68008e-14,5.94248e-15,1.45021e-9,2.92087e-9,1.42918e-10
12,1200000,23438.0255424,147191.88016727367776,1.15996e-14,5.11555e-15,1.85077e-9,4.006e-9,1.7572e-10
13,1300000,25391.1045853,159457.30653237696853,1.16431e-15,3.19323e-15,1.52349e-9,2.0176e-9,1.9295e-10
14,1400000,27344.2642235,171723.23904015249168,8.94639e-15,5.04664e-16,8.72666e-10,7.22108e-10,1.79632e-10
15,1500000,29297.7042198,183990.93220918749518,1.84868e-14,2.60154e-15,6.19133e-10,4.97216e-10,1.36626e-10
16,1600000,31250.8959035,196257.06596390921208,2.64681e-14,3.13199e-15,4.67184e-10,6.18953e-10,5.89211e-11
17,1700000,33203.9783476,208522.51368921589304,2.59219e-14,5.90383e-15,1.6472e-10,3.6842e-10,1.57461e-11
