sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err,rel_phase_err
0,0,0.0,0.0,0.0,0.0,1.68371e-72,1.55498e-61,1.54868e-73
1,100000,1953.060246,12265.308319951514548,2.53761e-15,1.25799e-15,2.5611e-11,4.48509e-11,2.72843e-12
2,200000,3906.16620614,24530.903726804926863,2.00117e-14,3.56493e-15,2.97927e-10,3.01992e-10,4.68349e-11
3,300000,5859.44215529,36797.566672470119498,1.27587e-14,6.47355e-15,3.63435e-10,2.79787e-10,9.83315e-11
4,400000,7812.82575206,49064.905650098303332,1.86079e-14,4.28021e-15,9.31673e-10,9.20858e-10,1.50234e-10
5,500000,9765.94234486,61330.567830574235351,6.92163e-15,5.46708e-15,1.73198e-9,3.08709e-9,1.82704e-10
6,600000,11719.0096438,73595.920443435967421,6.49416e-15,3.516e-15,2.14249e-9,4.90012e-9,1.98025e-10
7,700000,13672.080821,85861.297411814701987,2.1958e-15,3.12485e-15,1.87195e-9,2.8585e-9,2.16124e-10
8,800000,15625.2089793,98127.032223704317634,7.22876e-15,2.01761e-15,1.15104e-9,1.03966e-9,2.05401e-10
9,900000,17578.59434,110394.3822791781551,1.00132e-15,2.78888e-15,7.06838e-10,5.45452e-10,1.85428e-10
10,1000000,19531.8649263,122661.01154619910664,1.41281e-14,1.02375e-15,1.10648e-9,1.26281e-9,1.56898e-10
11,1100000,21484.9612467,134926.54641463301596,4.94539e-15,5.39991e-15,1.52693e-9,3.07945e-9,1.50677e-10
12,1200000,23438.0255424,147191.88016726051187,4.84164e-15,5.1991e-15,1.73602e-9,3.75965e-9,1.64914e-10
13,1300000,25391.1045853,159457.30653236354175,1.16391e-14,7.07344e-15,1.38632e-9,1.83498e-9,1.75485e-10
14,1400000,27344.2642235,171723.23904014211202,9.61274e-15,4.71762e-15,1.06577e-9,8.79644e-10,2.18818e-10
15,1500000,29297.7042198,183990.93220917892442,1.57305e-15,7.52157e-15,9.77279e-10,7.84305e-10,2.15516e-10
16,1600000,31250.8959035,196257.06596389415587,4.70435e-15,6.92413e-15,1.55579e-9,2.06849e-9,1.96912e-10
17,1700000,33203.9783476,208522.51368919873629,4.97421e-15,7.30928e-15,1.98492e-9,4.37596e-9,1.87037e-10
18,1800000,35157.0423455,220787.84557129089847,1.21791e-14,9.22853e-15,1.98675e-9,3.91674e-9,1.98276e-10
19,1900000,37110.1327655,233053.34338503814104,2.11787e-14,1.20311e-14,1.72377e-9,1.98409e-9,2.4207e-10
20,2000000,39063.3384968,245319.56535963641283,2.06567e-14,1.53063e-14,1.33312e-9,1.04198e-9,3.18021e-10
21,2100000,41016.7755329,257587.23993883417238,2.21135e-14,1.37957e-14,2.09183e-9,1.83424e-9,3.89757e-10
22,2200000,42969.9212958,269853.08530866766555,1.15732e-15,9.07536e-15,3.69965e-9,5.73117e-9,4.23886e-10
23,2300000,44922.994377,282118.47423408520608,1.24484e-14,1.05597e-14,4.84862e-9,1.11636e-8,4.46851e-10
24,2400000,46876.0606996,294383.82071521020224,1.17796e-14,1.16101e-14,4.49608e-9,7.84948e-9,4.79786e-10
25,2500000,48829.1670964,306649.41886467321746,2.5105e-14,1.64843e-14,3.4032e-9,3.43804e-9,5.36283e-10
26,2600000,50782.4451976,318916.09532488572574,1.00775e-14,1.22463e-14,2.14383e-9,1.64914e-9,5.80771e-10
27,2700000,52735.826791,331183.42172165940024,3.14949e-16,1.23616e-14,3.74595e-9,3.7153e-9,6.0226e-10
28,2800000,54688.9428159,343449.08033577238821,1.45493e-14,1.07801e-14,5.88756e-9,1.0531e-8,6.20165e-10
29,2900000,56642.0100127,355714.43230673286802,1.92976e-14,1.24621e-14,7.20795e-9,1.64778e-8,6.66651e-10
30,3000000,58595.0813404,367979.81022063356813,2.0962e-14,1.07099e-14,6.29444e-9,9.58207e-9,7.28385e-10
31,3100000,60548.2101183,380245.54892350700487,3.9123e-14,1.57804e-14,4.51518e-9,4.06903e-9,8.08401e-10
32,3200000,62501.5976429,392512.91256868446142,4.69335e-14,1.85944e-14,3.55791e-9,2.74371e-9,9.29158e-10
33,3300000,64454.8657299,404779.52613945288267,6.11123e-14,2.22467e-14,7.65449e-9,8.76092e-9,1.08168e-9
34,3400000,66407.9616633,417045.05857785320889,6.47264e-14,2.45209e-14,1.2774e-8,2.58238e-8,1.2587e-9
35,3500000,68361.0259226,429310.39210180355221,6.61154e-14,2.36119e-14,1.51263e-8,3.27123e-8,1.43879e-9
36,3600000,70314.1051901,441575.81987761918132,5.39997e-14,2.17923e-14,1.27352e-8,1.6814e-8,1.61707e-9
37,3700000,72267.2657181,453841.75797296748752,3.74473e-14,2.17832e-14,8.48597e-9,6.99754e-9,1.74975e-9
38,3800000,74220.7062282,466109.45436889239204,3.72476e-14,1.99487e-14,8.51414e-9,6.83676e-9,1.86795e-9
39,3900000,76173.8965552,478375.5796032894926,3.89058e-14,1.5612e-14,1.56641e-8,2.08882e-8,1.97636e-9
40,4000000,78126.9787322,490641.02565085046173,4.26602e-14,1.45387e-14,2.22643e-8,4.91503e-8,2.09579e-9
41,4100000,80080.0427537,502906.35768119712911,4.77536e-14,1.51392e-14,2.22509e-8,4.37625e-8,2.22413e-9
42,4200000,82033.1334883,515171.85747105444831,5.5949e-14,1.72354e-14,1.68469e-8,1.934e-8,2.37314e-9
43,4300000,83986.3405439,527438.0877623556564,6.02681e-14,1.92889e-14,1.06359e-8,8.31146e-9,2.54761e-9
44,4400000,85939.7769294,539705.75825534052253,5.46187e-14,2.20453e-14,1.46723e-8,1.28936e-8,2.72261e-9
45,4500000,87892.9218422,551971.59828693868797,5.66799e-14,1.81093e-14,2.52801e-8,3.92907e-8,2.88947e-9
46,4600000,89845.9947472,564236.9861057042355,4.87112e-14,1.87744e-14,3.30435e-8,7.61051e-8,3.04436e-9
47,4700000,91799.0611552,576502.33312365094773,4.05936e-14,1.65724e-14,2.9761e-8,5.18026e-8,3.1817e-9
48,4800000,93752.167993,588767.93404213704693,5.10854e-14,1.99191e-14,2.09582e-8,2.1118e-8,3.31303e-9
49,4900000,95705.4482762,601034.62420587483275,7.18384e-14,2.32301e-14,1.28994e-8,9.92628e-9,3.50258e-9
50,5000000,97658.8278215,613301.93774014260992,7.64268e-14,2.27441e-14,2.32359e-8,2.31119e-8,3.72267e-9
51,5100000,99611.9432847,625567.59282635792854,7.85393e-14,1.95086e-14,3.75278e-8,6.73214e-8,3.94497e-9
52,5200000,101565.010381,637832.94416799402129,8.12975e-14,2.14326e-14,4.51728e-8,1.03174e-7,4.17902e-9
53,5300000,103518.081861,650098.3230395380797,8.45821e-14,2.5256e-14,3.81335e-8,5.78608e-8,4.42205e-9
54,5400000,105471.211265,662364.06567203670345,8.38684e-14,2.54891e-14,2.60265e-8,2.34058e-8,4.6762e-9
55,5500000,107424.600905,674631.44260188328635,8.70536e-14,2.67608e-14,1.88961e-8,1.45799e-8,4.91817e-9
56,5600000,109377.86653,686898.04070817359843,9.30245e-14,2.78078e-14,3.67024e-8,4.21459e-8,5.17085e-9
57,5700000,111330.962079,699163.57073360318762,1.02096e-13,3.09201e-14,5.54472e-8,1.12352e-7,5.45536e-9
58,5800000,113284.026303,711428.90403601292306,9.90727e-14,2.98047e-14,6.04519e-8,1.30486e-7,5.7549e-9
59,5900000,115237.105796,723694.33323089892206,9.94071e-14,2.8578e-14,4.74592e-8,6.24529e-8,6.0403e-9
60,6000000,117190.267221,735960.27695498097449,1.08387e-13,3.03491e-14,3.06477e-8,2.52356e-8,6.3429e-9
61,6100000,119143.70822,748227.9764225363534,9.60485e-14,3.07539e-14,3.0394e-8,2.44457e-8,6.64069e-9
62,6200000,121096.897205,760494.09323136409397,8.66045e-14,2.67228e-14,5.49715e-8,7.35616e-8,6.91765e-9
63,6300000,123049.979117,772759.5376132229376,7.69031e-14,2.49693e-14,7.59872e-8,1.67988e-7,7.14633e-9
64,6400000,125003.043163,785024.86979933372308,7.43477e-14,2.3086e-14,7.35432e-8,1.4426e-7,7.36088e-9
65,6500000,126956.134214,797290.37157837434185,9.4052e-14,2.62893e-14,5.38912e-8,6.16726e-8,7.6111e-9
