sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err,rel_phase_err
0,0,0.0,0.0,0.0,0.0,3.88938e-62,1.55498e-61,1.54868e-73
1,100000,1953.060246,12265.308319952845505,2.18562e-14,2.27195e-15,3.49525e-10,6.12126e-10,3.72341e-11
2,200000,3906.16620614,24530.903726807157364,2.24308e-14,5.91033e-16,6.55968e-10,6.64852e-10,1.03111e-10
3,300000,5859.44215529,36797.566672473097493,3.07445e-14,4.47258e-15,6.67352e-10,5.13705e-10,1.80547e-10
4,400000,7812.82575206,49064.905650101950617,2.09235e-14,1.7585e-15,1.58184e-9,1.56355e-9,2.55085e-10
5,500000,9765.94234486,61330.567830579013923,1.24754e-14,1.00688e-15,2.89833e-9,5.16657e-9,3.05773e-10
6,600000,11719.0096438,73595.92044344188332,2.11618e-14,1.16591e-15,3.83992e-9,8.78354e-9,3.5496e-10
7,700000,13672.080821,85861.297411821469712,2.29095e-14,1.86977e-15,3.63931e-9,5.55839e-9,4.20254e-10
8,800000,15625.2089793,98127.032223711149383,2.2918e-14,7.64078e-16,2.7221e-9,2.45957e-9,4.85915e-10
9,900000,17578.59434,110394.38227918074291,2.79831e-14,1.0291e-15,2.14322e-9,1.65281e-9,5.61895e-10
10,1000000,19531.8649263,122661.01154620836995,3.27213e-14,2.69204e-15,4.62488e-9,5.27438e-9,6.55331e-10
11,1100000,21484.9612467,134926.54641464425846,2.0117e-14,1.10767e-15,7.43689e-9,1.49942e-8,7.3366e-10
12,1200000,23438.0255424,147191.88016727285198,2.05081e-14,3.6284e-16,8.27844e-9,1.79327e-8,7.866e-10
13,1300000,25391.1045853,159457.30653237620849,2.19225e-14,2.02118e-15,6.64318e-9,8.79951e-9,8.41521e-10
14,1400000,27344.2642235,171723.23904015223869,2.09124e-14,5.59468e-15,4.42062e-9,3.65206e-9,9.08482e-10
15,1500000,29297.7042198,183990.9322091870523,6.28401e-15,5.2042e-15,4.25533e-9,3.41243e-9,9.37715e-10
16,1600000,31250.8959035,196257.0659639092986,1.68328e-14,7.84408e-15,7.73981e-9,1.02831e-8,9.78917e-10
17,1700000,33203.9783476,208522.51368921654656,1.14331e-14,4.10287e-15,1.09175e-8,2.40598e-8,1.02836e-9
18,1800000,35157.0423455,220787.84557130973026,1.77194e-14,5.144e-15,1.07655e-8,2.12247e-8,1.07444e-9
19,1900000,37110.1327655,233053.34338505547072,2.21172e-14,8.02414e-15,8.10156e-9,9.32926e-9,1.13822e-9
20,2000000,39063.3384968,245319.56535964415346,2.41904e-14,9.14626e-15,5.0475e-9,3.94826e-9,1.20507e-9
21,2100000,41016.7755329,257587.23993884683277,2.51094e-14,7.77107e-15,6.8384e-9,5.9949e-9,1.27386e-9
22,2200000,42969.9212958,269853.08530868792679,2.45302e-14,9.57297e-15,1.17529e-8,1.82012e-8,1.34619e-9
23,2300000,44922.994377,282118.47423410760394,3.07949e-14,1.09617e-14,1.55296e-8,3.5748e-8,1.43089e-9
24,2400000,46876.0606996,294383.82071523250524,1.51052e-14,7.59052e-15,1.40412e-8,2.45123e-8,1.49827e-9
25,2500000,48829.1670964,306649.41886469181967,1.92513e-14,8.83289e-15,9.77861e-9,9.88083e-9,1.54126e-9
26,2600000,50782.4451976,318916.09532488152962,2.8138e-14,1.33324e-14,5.90654e-9,4.54664e-9,1.60122e-9
27,2700000,52735.826791,331183.42172167732533,2.26204e-14,1.28867e-14,1.04411e-8,1.03535e-8,1.67833e-9
28,2800000,54688.9428159,343449.08033579750856,2.92889e-14,1.79321e-14,1.66342e-8,2.97443e-8,1.75162e-9
29,2900000,56642.0100127,355714.43230675966083,2.89997e-14,1.67502e-14,2.00182e-8,4.57519e-8,1.85101e-9
30,3000000,58595.0813404,367979.81022065873005,3.44196e-14,1.71757e-14,1.68741e-8,2.5686e-8,1.95252e-9
31,3100000,60548.2101182,380245.54892352381442,3.72116e-14,1.79329e-14,1.15906e-8,1.04483e-8,2.0758e-9
32,3200000,62501.5976429,392512.91256867107259,2.63863e-14,1.51806e-14,8.28491e-9,6.39214e-9,2.16473e-9
33,3300000,64454.8657299,404779.5261394742593,2.23928e-14,1.5558e-14,1.57831e-8,1.80613e-8,2.22995e-9
34,3400000,66407.9616633,417045.05857788032198,1.19055e-14,1.29171e-14,2.31806e-8,4.68508e-8,2.28359e-9
35,3500000,68361.0259226,429310.39210183119983,8.55416e-15,9.66762e-15,2.44339e-8,5.28319e-8,2.3237e-9
36,3600000,70314.1051901,441575.81987764346516,1.69889e-14,1.09928e-14,1.86531e-8,2.46259e-8,2.36838e-9
37,3700000,72267.2657181,453841.757972977424,2.13189e-14,1.44796e-14,1.17722e-8,9.70998e-9,2.42802e-9
38,3800000,74220.7062282,466109.45436889340643,2.76316e-14,1.88664e-14,1.14233e-8,9.17438e-9,2.50664e-9
39,3900000,76173.8965552,478375.57960331323385,2.92755e-14,1.92983e-14,2.04493e-8,2.7265e-8,2.5797e-9
40,4000000,78126.9787321,490641.02565087903985,3.57531e-14,1.61353e-14,2.83713e-8,6.26196e-8,2.67012e-9
41,4100000,80080.0427537,502906.35768122523762,3.32067e-14,1.52186e-14,2.77949e-8,5.46589e-8,2.77791e-9
42,4200000,82033.1334883,515171.85747107629111,5.35663e-14,1.84752e-14,2.0759e-8,2.38316e-8,2.92428e-9
43,4300000,83986.3405439,527438.08776235219693,5.36637e-14,1.63881e-14,1.28186e-8,1.00213e-8,3.07171e-9
44,4400000,85939.7769294,539705.75825534891246,5.31664e-14,1.3371e-14,1.74232e-8,1.53107e-8,3.23302e-9
45,4500000,87892.9218422,551971.5982869625475,5.65297e-14,1.23627e-14,2.9746e-8,4.62237e-8,3.39933e-9
46,4600000,89845.9947472,564236.98610573108849,5.30969e-14,1.23542e-14,3.85603e-8,8.87968e-8,3.55205e-9
47,4700000,91799.0611552,576502.3331236761608,3.99253e-14,7.65844e-15,3.45696e-8,6.01674e-8,3.69545e-9
48,4800000,93752.167993,588767.93404215405932,2.89432e-14,2.97926e-15,2.39785e-8,2.41634e-8,3.79081e-9
49,4900000,95705.4482762,601034.62420585130397,3.18446e-14,2.15571e-15,1.42749e-8,1.09897e-8,3.87784e-9
