sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err,rel_phase_err
0,0,0.0,0.0,0.0,0.0,3.88938e-62,1.55498e-61,1.54868e-73
1,100000,1953.060246,12265.308319951388091,3.63103e-15,1.06273e-15,1.37129e-11,2.39376e-11,1.45638e-12
2,200000,3906.16620614,24530.90372680472775,1.11332e-14,3.22398e-15,1.74684e-10,1.77163e-10,2.7476e-11
3,300000,5859.44215529,36797.5666724701688,9.44014e-15,2.79679e-15,1.75925e-10,1.35522e-10,4.76293e-11
4,400000,7812.82575206,49064.905650098119808,6.16955e-15,3.04176e-15,4.12276e-10,4.07146e-10,6.64233e-11
5,500000,9765.94234486,61330.567830573916695,8.79529e-16,3.01513e-15,6.71925e-10,1.19691e-9,7.0837e-11
6,600000,11719.0096438,73595.920443435420672,1.1633e-14,4.2261e-16,4.74719e-10,1.08563e-9,4.3873e-11
7,700000,13672.080821,85861.297411814068777,6.07453e-15,1.28378e-16,2.49677e-10,3.82351e-10,2.89095e-11
8,800000,15625.2089793,98127.032223703560521,9.68713e-15,2.29243e-15,1.99727e-10,1.81735e-10,3.59023e-11
9,900000,17578.59434,110394.3822791761136,1.53789e-14,1.04425e-15,2.56957e-10,1.97764e-10,6.72287e-11
10,1000000,19531.8649263,122661.01154619886023,1.20162e-14,1.69065e-15,7.82734e-10,8.89864e-10,1.10565e-10
11,1100000,21484.9612467,134926.54641463354891,2.39851e-14,4.3818e-15,1.6958e-9,3.41558e-9,1.67124e-10
12,1200000,23438.0255424,147191.88016726148021,3.34502e-14,4.21141e-15,2.66648e-9,5.77843e-9,2.53465e-10
13,1300000,25391.1045853,159457.30653236482725,3.55982e-14,5.13478e-15,2.88926e-9,3.83212e-9,3.66475e-10
14,1400000,27344.2642235,171723.23904014243775,3.31627e-14,9.05561e-16,2.24628e-9,1.85929e-9,4.62508e-10
15,1500000,29297.7042198,183990.93220917825683,3.44296e-14,1.82142e-15,2.57307e-9,2.0597e-9,5.66001e-10
16,1600000,31250.8959035,196257.06596389642546,4.11399e-14,5.74769e-15,5.29661e-9,7.03005e-9,6.69239e-10
17,1700000,33203.9783476,208522.51368920229072,2.87279e-14,2.98252e-15,8.12422e-9,1.7901e-8,7.65123e-10
18,1800000,35157.0423455,220787.84557129485359,2.11719e-14,3.00469e-15,8.51827e-9,1.68028e-8,8.50594e-10
19,1900000,37110.1327655,233053.34338504094298,2.19954e-14,4.02095e-15,6.50435e-9,7.49844e-9,9.14848e-10
20,2000000,39063.3384968,245319.56535963350767,1.24071e-14,1.04352e-15,3.99031e-9,3.12487e-9,9.53755e-10
21,2100000,41016.7755329,257587.2399388333955,1.31776e-14,2.4721e-15,5.33851e-9,4.67297e-9,9.92964e-10
22,2200000,42969.9212958,269853.08530867033012,5.90677e-15,1.45677e-15,8.77301e-9,1.35773e-8,1.0042e-9
23,2300000,44922.994377,282118.4742340886349,1.57786e-14,1.90807e-15,1.1242e-8,2.58807e-8,1.03593e-9
24,2400000,46876.0606996,294383.82071521320762,8.76031e-15,1.10061e-15,1.00149e-8,1.74969e-8,1.06946e-9
25,2500000,48829.1670964,306649.41886467370598,3.78182e-15,2.85727e-15,6.7746e-9,6.85452e-9,1.0692e-9
26,2600000,50782.4451976,318916.09532487408496,4.86916e-15,2.51796e-15,3.97041e-9,3.05613e-9,1.0763e-9
27,2700000,52735.826791,331183.42172165848382,9.40867e-15,2.24783e-15,6.87495e-9,6.80777e-9,1.10356e-9
28,2800000,54688.9428159,343449.08033577465347,1.59704e-14,6.7557e-16,1.08018e-8,1.9308e-8,1.13703e-9
29,2900000,56642.0100127,355714.43230673577738,3.98961e-14,5.59019e-15,1.3128e-8,3.00159e-8,1.21437e-9
30,3000000,58595.0813404,367979.81022063573771,4.7508e-14,5.99803e-15,1.1604e-8,1.76798e-8,1.34393e-9
31,3100000,60548.2101183,380245.54892350476685,3.87729e-14,3.84803e-15,8.17739e-9,7.37982e-9,1.46616e-9
32,3200000,62501.5976429,392512.91256866523918,4.16589e-14,5.15442e-15,6.09698e-9,4.69724e-9,1.59076e-9
33,3300000,64454.8657299,404779.52613945245875,4.35905e-14,1.36887e-15,1.2033e-8,1.37591e-8,1.69879e-9
34,3400000,66407.9616633,417045.05857785545913,3.65449e-14,3.6946e-15,1.8399e-8,3.7185e-8,1.81246e-9
35,3500000,68361.0259226,429310.39210180552233,3.73018e-14,1.31677e-15,2.02433e-8,4.37907e-8,1.92604e-9
36,3600000,70314.1051901,441575.81987761848247,2.45626e-14,3.69345e-15,1.58861e-8,2.09894e-8,2.01863e-9
37,3700000,72267.2657181,453841.75797295781093,1.83273e-14,4.00872e-15,1.01018e-8,8.33778e-9,2.08489e-9
38,3800000,74220.7062282,466109.45436887695539,8.81101e-15,7.9539e-15,9.72214e-9,7.79771e-9,2.13051e-9
39,3900000,76173.8965552,478375.5796032866018,9.94185e-15,1.14037e-14,1.71014e-8,2.27921e-8,2.1565e-9
40,4000000,78126.9787322,490641.02565084960572,4.11098e-16,1.43428e-14,2.31477e-8,5.11002e-8,2.17893e-9
41,4100000,80080.0427537,502906.35768119514261,1.24788e-14,1.74294e-14,2.16633e-8,4.2626e-8,2.16636e-9
42,4200000,82033.1334883,515171.85747104780999,2.44644e-14,1.92594e-14,1.49232e-8,1.71457e-8,2.10389e-9
43,4300000,83986.3405439,527438.08776233332423,2.6487e-14,1.93371e-14,8.49068e-9,6.63807e-9,2.0347e-9
44,4400000,85939.7769294,539705.75825532373152,2.2465e-14,1.88081e-14,1.05367e-8,9.24845e-9,1.9529e-9
45,4500000,87892.9218422,551971.59828692943254,1.57567e-14,1.99774e-14,1.64052e-8,2.54891e-8,1.87449e-9
46,4600000,89845.9947472,564236.98610569553476,2.28119e-14,2.56947e-14,1.97535e-8,4.551e-8,1.82049e-9
47,4700000,91799.0611552,576502.33312364001935,2.36286e-14,2.77081e-14,1.64587e-8,2.86711e-8,1.76097e-9
48,4800000,93752.167993,588767.93404211979652,3.66668e-14,3.08959e-14,1.061e-8,1.07021e-8,1.67897e-9
49,4900000,95705.4482762,601034.62420583146781,3.08132e-14,2.92385e-14,5.82562e-9,4.4785e-9,1.58029e-9
50,5000000,97658.8278215,613301.93774012054016,3.61025e-14,2.92259e-14,9.27339e-9,9.21299e-9,1.48395e-9
51,5100000,99611.9432847,625567.5928263400407,4.16974e-14,2.85459e-14,1.29566e-8,2.3243e-8,1.36202e-9
52,5200000,101565.010381,637832.94416797498001,4.33432e-14,2.98746e-14,1.32768e-8,3.03508e-8,1.22934e-9
53,5300000,103518.081861,650098.32303951496495,5.43488e-14,3.35746e-14,9.25917e-9,1.4071e-8,1.07539e-9
54,5400000,105471.211265,662364.06567200457069,4.99413e-14,3.40301e-14,5.16095e-9,4.6478e-9,9.28575e-10
55,5500000,107424.600905,674631.44260182686857,4.73121e-14,3.08183e-14,3.03089e-9,2.32707e-9,7.84975e-10
56,5600000,109377.86653,686898.0407081404047,5.73979e-14,3.21814e-14,4.43801e-9,5.08871e-9,6.24329e-10
57,5700000,111330.962079,699163.57073357136333,6.88241e-14,3.50397e-14,4.56547e-9,9.26421e-9,4.49834e-10
58,5800000,113284.026303,711428.90403597847941,7.30096e-14,3.7286e-14,2.50863e-9,5.44853e-9,2.403e-10
59,5900000,115237.105796,723694.3332308593902,7.57045e-14,3.46628e-14,1.34996e-10,1.94611e-10,1.88241e-11
60,6000000,117190.267221,735960.27695493080073,7.55672e-14,3.3059e-14,1.02774e-9,8.4559e-10,2.12531e-10
61,6100000,119143.70822,748227.97642248020718,8.19203e-14,3.37327e-14,1.97441e-9,1.59982e-9,4.34602e-10
62,6200000,121096.897205,760494.09323131563784,7.99053e-14,3.38762e-14,5.338e-9,7.14385e-9,6.71801e-10
63,6300000,123049.979117,772759.53761317377767,9.44544e-14,3.69266e-14,9.84515e-9,2.17363e-8,9.2468e-10
64,6400000,125003.043163,785024.86979928152634,9.56275e-14,3.52922e-14,1.19701e-8,2.34464e-8,1.19635e-9
65,6500000,126956.134214,797290.37157831759545,8.8491e-14,3.5497e-14,1.04052e-8,1.18969e-8,1.46822e-9
66,6600000,128909.342606,809556.61025974957843,6.39339e-14,3.0499e-14,7.05276e-9,5.51556e-9,1.69779e-9
67,6700000,130862.778313,821824.27649383239461,7.00131e-14,3.04185e-14,1.03045e-8,9.08681e-9,1.90676e-9
68,6800000,132815.922386,834090.11125079783981,7.34577e-14,3.19723e-14,1.86251e-8,2.90359e-8,2.12321e-9
69,6900000,134768.995117,846355.49797775115341,6.22852e-14,3.26859e-14,2.52503e-8,5.81308e-8,2.32398e-9
70,7000000,136722.061613,858620.84554461923157,4.61197e-14,3.04828e-14,2.33058e-8,4.04107e-8,2.49411e-9
71,7100000,138675.168896,870886.44926023906216,3.13339e-14,2.59123e-14,1.64501e-8,1.65248e-8,2.60739e-9
72,7200000,140628.451393,883153.15332790650264,5.61751e-14,3.0038e-14,1.0043e-8,7.74446e-9,2.73777e-9
73,7300000,142581.828844,895420.45370813635689,5.20529e-14,3.07892e-14,1.81287e-8,1.80913e-8,2.89548e-9
74,7400000,144534.943751,907686.10530227421739,3.56627e-14,2.77388e-14,2.87969e-8,5.1792e-8,3.02009e-9
75,7500000,146488.010749,919951.45602630976244,2.08157e-14,2.0796e-14,3.36455e-8,7.67302e-8,3.11164e-9
76,7600000,148441.082384,932216.8358665602075,1.87456e-14,2.13615e-14,2.72973e-8,4.12595e-8,3.17033e-9
77,7700000,150394.212419,944482.58246525098106,1.22193e-14,1.82967e-14,1.78584e-8,1.60256e-8,3.21968e-9
78,7800000,152347.604128,956749.97238801897407,2.80982e-14,1.9763e-14,1.26054e-8,9.74665e-9,3.27456e-9
79,7900000,154300.867326,969016.5552553147764,2.85867e-14,1.6632e-14,2.39395e-8,2.75804e-8,3.36251e-9
80,8000000,156253.962493,981282.08288349047659,1.46211e-14,8.60559e-15,3.48899e-8,7.08263e-8,3.42605e-9
81,8100000,158207.026683,993547.41597096499309,1.26157e-14,1.02855e-14,3.63662e-8,7.83005e-8,3.46291e-9
82,8200000,160160.106404,1005812.8465927741396,1.37984e-14,1.0056e-14,2.75105e-8,3.60685e-8,3.50816e-9
