sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err,rel_phase_err
0,0,0.0,0.0,0.0,0.0,1.68371e-72,1.55498e-61,1.54868e-73
1,100000,1953.060246,12265.308319952228572,2.95557e-15,1.78569e-15,1.06416e-10,1.86293e-10,1.13315e-11
2,200000,3906.16620614,24530.903726806015648,7.81831e-15,4.96029e-15,1.70033e-10,1.72164e-10,2.67015e-11
3,300000,5859.44215529,36797.566672471011304,2.40859e-15,3.45585e-15,1.37654e-10,1.06016e-10,3.72646e-11
4,400000,7812.82575206,49064.905650100100403,3.93111e-15,3.73682e-15,2.24589e-10,2.22354e-10,3.62753e-11
5,500000,9765.94234486,61330.567830576885013,1.14204e-14,8.42925e-15,5.24044e-10,9.34119e-10,5.52835e-11
6,600000,11719.0096438,73595.920443439075753,1.26838e-14,8.26414e-15,8.79874e-10,2.01108e-9,8.12717e-11
7,700000,13672.080821,85861.297411818082175,1.72404e-15,2.54872e-15,8.98585e-10,1.37104e-9,1.03661e-10
8,800000,15625.2089793,98127.03222370700602,4.31663e-15,3.88382e-15,6.56863e-10,5.93125e-10,1.1718e-10
9,900000,17578.59434,110394.38227917605543,1.49143e-14,5.67862e-15,5.37434e-10,4.15305e-10,1.41187e-10
10,1000000,19531.8649263,122661.01154620353158,1.49609e-14,9.20606e-16,1.3312e-9,1.5185e-9,1.88671e-10
11,1100000,21484.9612467,134926.546414639131,1.77442e-14,1.25111e-15,2.35846e-9,4.75377e-9,2.32601e-10
12,1200000,23438.0255424,147191.88016726719523,1.65951e-14,2.00895e-15,2.90729e-9,6.29563e-9,2.76151e-10
13,1300000,25391.1045853,159457.30653237013186,1.71969e-14,4.12042e-15,2.53514e-9,3.35751e-9,3.21087e-10
14,1400000,27344.2642235,171723.2390401460447,1.34568e-14,6.25161e-15,1.81173e-9,1.49725e-9,3.72456e-10
15,1500000,29297.7042198,183990.93220918080757,1.50145e-14,9.57869e-15,1.84925e-9,1.48324e-9,4.07589e-10
16,1600000,31250.8959035,196257.06596390135415,5.79521e-15,8.32934e-15,3.49547e-9,4.64293e-9,4.41989e-10
17,1700000,33203.9783476,208522.51368920757101,1.84929e-14,1.10722e-14,5.15791e-9,1.13637e-8,4.85701e-10
18,1800000,35157.0423455,220787.84557129989629,2.2131e-14,1.19153e-14,5.54374e-9,1.0928e-8,5.53199e-10
19,1900000,37110.1327655,233053.34338504548105,2.21685e-14,8.05747e-15,4.39664e-9,5.06365e-9,6.1779e-10
20,2000000,39063.3384968,245319.56535963600647,1.19141e-14,4.00798e-15,2.81723e-9,2.2054e-9,6.73126e-10
21,2100000,41016.7755329,257587.23993883704823,2.80688e-15,3.67873e-15,3.73102e-9,3.27003e-9,6.94851e-10
22,2200000,42969.9212958,269853.08530867624861,1.21295e-14,4.16258e-15,6.2924e-9,9.74077e-9,7.2044e-10
23,2300000,44922.994377,282118.47423409533252,1.63532e-14,2.19821e-15,8.25416e-9,1.89955e-8,7.60335e-10
24,2400000,46876.0606996,294383.82071521996222,1.77728e-14,9.09982e-16,7.48893e-9,1.3074e-8,7.99118e-10
25,2500000,48829.1670964,306649.41886467993314,1.32011e-14,7.52209e-18,5.40942e-9,5.46843e-9,8.5299e-10
26,2600000,50782.4451976,318916.09532487628845,1.36154e-14,1.48506e-15,3.27802e-9,2.52546e-9,8.89419e-10
