sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err,rel_phase_err
0,0,0.0,0.0,0.0,0.0,3.88938e-62,1.55498e-61,1.54868e-73
1,100000,1953.060246,12265.30831995204094,6.26838e-15,3.90773e-16,6.00792e-11,1.05242e-10,6.40171e-12
2,200000,3906.16620614,24530.903726806079337,1.93627e-14,1.01257e-15,2.25112e-10,2.28214e-10,3.53918e-11
3,300000,5859.44215529,36797.566672470878357,1.42268e-14,2.69193e-15,3.10573e-10,2.39084e-10,8.40221e-11
4,400000,7812.82575206,49064.905650100000324,2.5101e-15,5.15391e-15,7.06167e-10,6.97829e-10,1.13848e-10
5,500000,9765.94234486,61330.567830576760043,5.7481e-15,8.9805e-15,1.04058e-9,1.85501e-9,1.09786e-10
6,600000,11719.0096438,73595.920443438829469,6.31669e-15,7.75954e-15,9.03289e-10,2.06711e-9,8.35368e-11
7,700000,13672.080821,85861.297411817700533,4.70011e-15,7.86404e-15,6.37958e-10,9.74919e-10,7.37111e-11
8,800000,15625.2089793,98127.032223706341995,9.86744e-15,5.58724e-15,3.01424e-10,2.72215e-10,5.37796e-11
9,900000,17578.59434,110394.38227917448974,2.1164e-14,9.23159e-15,3.23622e-11,2.4437e-11,8.30259e-12
10,1000000,19531.8649263,122661.01154620250133,2.48787e-14,9.55496e-15,3.35111e-10,3.81659e-10,4.7421e-11
11,1100000,21484.9612467,134926.54641463746574,3.73489e-14,1.34971e-14,1.38141e-9,2.78265e-9,1.36154e-10
12,1200000,23438.0255424,147191.8801672649256,3.74776e-14,1.22586e-14,2.68993e-9,5.82458e-9,2.55488e-10
13,1300000,25391.1045853,159457.30653236711936,4.9903e-14,1.60727e-14,2.97758e-9,3.94427e-9,3.77199e-10
14,1400000,27344.2642235,171723.23904014232335,4.6178e-14,1.27031e-14,2.5926e-9,2.14319e-9,5.33136e-10
15,1500000,29297.7042198,183990.93220917694531,5.71049e-14,1.68421e-14,3.12158e-9,2.50317e-9,6.8787e-10
16,1600000,31250.8959035,196257.06596389604487,5.74325e-14,1.49319e-14,6.85872e-9,9.10977e-9,8.6722e-10
17,1700000,33203.9783476,208522.51368920134495,4.87595e-14,1.3861e-14,1.07674e-8,2.37244e-8,1.01402e-9
18,1800000,35157.0423455,220787.84557129315114,3.57566e-14,9.28015e-15,1.14434e-8,2.25602e-8,1.14205e-9
19,1900000,37110.1327655,233053.34338503854325,4.25229e-14,1.10721e-14,8.8744e-9,1.0221e-8,1.24702e-9
20,2000000,39063.3384968,245319.5653596296193,3.91327e-14,1.34472e-14,5.70248e-9,4.46289e-9,1.36214e-9
21,2100000,41016.7755329,257587.23993882964639,4.88063e-14,1.51012e-14,8.01242e-9,7.02265e-9,1.49226e-9
