step,t,rel_energy_diff,max_rel_coord_diff
0,0.0,0.0,0.0
200,6.30333390835746229,4.82836e-33,9.52258e-30
400,14.8170717243620739,5.7149e-33,5.27207e-31
600,25.0994587572004231,8.9348e-33,7.66297e-29
800,31.4006347969727791,1.05968e-32,5.38828e-28
1000,37.7137898266562365,2.51294e-33,1.77586e-28
1200,47.8213993117668912,9.14923e-33,1.31708e-29
1400,56.5064748811917366,9.44637e-33,3.25934e-28
1600,62.8012763865341405,3.74821e-32,8.8698e-28
1800,69.1290115436751707,6.14355e-33,2.86036e-28
2000,80.3373158882195621,1.03314e-32,5.07667e-29
2200,87.9111869404231669,1.01722e-33,4.76956e-28
2400,94.2019903970154637,2.06317e-34,8.18509e-28
2600,100.551320593029345,5.64916e-33,2.2424e-28
2800,112.271088805999667,5.57823e-33,8.38159e-29
3000,119.314403221601478,1.27374e-32,6.39598e-28
3200,125.602825712649295,1.89593e-32,9.24651e-28
3400,131.984227875573714,6.6139e-33,3.02232e-28
3600,143.967283178209835,4.60721e-33,1.66661e-28
3800,150.716645753618824,1.42737e-33,9.50099e-28
4000,157.003851726662853,1.35783e-32,1.06936e-27
4200,163.433101373370726,1.13075e-32,2.96237e-28
4400,175.543101022364454,4.27966e-33,2.42318e-28
4600,182.118253621142976,1.12891e-32,1.27383e-27
4800,188.405164654309408,1.34337e-32,1.3001e-27
5000,194.906273688956246,2.17095e-32,3.45274e-28
5200,207.051145741712966,2.11085e-32,4.40363e-28
5400,213.519448732594234,2.89241e-32,2.01738e-27
5600,219.806901479595707,3.39117e-32,1.87594e-27
5800,226.416969117731903,3.22159e-32,4.57133e-28
6000,238.518941161870855,1.36245e-32,7.90643e-28
6200,244.920378266559639,2.02979e-32,3.38371e-27
6400,251.209260769191754,2.85564e-32,2.32714e-27
6600,257.986886620584963,3.50509e-32,4.9025e-28
6800,269.962085829317856,3.85871e-32,1.26655e-27
7000,276.321142239164008,1.90756e-32,5.88565e-27
7200,282.612532988108008,1.79093e-32,2.76901e-27
7400,289.653561707247306,1.36575e-32,4.85151e-28
7600,301.389837716193669,1.67136e-32,1.71766e-27
7800,307.721809327516859,2.61241e-33,8.09372e-27
8000,314.017145322387321,6.52271e-33,2.80964e-27
8200,321.487984381924812,7.09139e-33,3.83288e-28
8400,332.807852071283347,5.10164e-34,2.14353e-27
8600,339.122423167244414,1.23935e-32,9.31952e-27
8800,345.42372865659054,1.15133e-32,2.58604e-27
9000,353.647034783621455,3.20748e-33,2.13251e-28
9200,364.219650012023011,8.03126e-33,2.59246e-27
9400,370.523022712078204,1.02337e-32,9.37061e-27
9600,376.833218310887046,3.42224e-33,2.39237e-27
9800,386.488724778475737,4.67841e-33,4.98413e-29
10000,395.627452629476386,4.56382e-33,3.07891e-27
10200,401.923651122368784,2.51085e-32,8.3577e-27
10400,408.247007353521855,8.24212e-33,2.18708e-27
10600,419.249365710013161,1.77006e-32,3.51836e-28
10800,427.032674203038521,2.77723e-32,3.81697e-27
11000,433.32434230074716,4.25193e-33,7.42202e-27
11200,439.667182315833761,7.69792e-33,2.1079e-27
11400,451.284584844125431,8.74202e-33,6.27503e-28
11600,458.43622168585157,5.38916e-33,4.56311e-27
11800,464.725140076077379,2.50933e-32,6.24551e-27
12000,471.096891362862209,1.62422e-32,1.95302e-27
12200,483.02710134539823,1.64322e-32,9.28117e-28
12400,489.838680002292148,1.9453e-32,5.52581e-27
12600,496.126108235177691,2.54216e-32,6.42547e-27
12800,502.540932561974259,2.52653e-32,1.83755e-27
13000,514.627761605985281,4.04984e-32,1.32916e-27
13200,521.240428495685464,2.45146e-32,6.87142e-27
13400,527.527334898293497,3.04033e-32,7.04504e-27
13600,534.006720324985652,3.25468e-32,1.82259e-27
13800,546.150177746417984,3.19137e-32,1.8803e-27
14000,552.641714848100127,2.55729e-32,8.30501e-27
14200,558.92894468696423,5.79834e-32,7.51693e-27
14400,565.505943719186704,6.33059e-32,1.78918e-27
14600,577.626637541304406,6.85119e-32,2.74731e-27
14800,584.042702611133826,6.82566e-32,1.15704e-26
15000,590.331117599453527,4.78253e-32,8.49831e-27
15200,597.057588986308141,3.74939e-32,1.78889e-27
15400,609.075137808162697,3.68561e-32,3.78078e-27
15600,615.4435021182485,3.90635e-32,1.67419e-26
15800,621.734116449480483,2.45488e-32,8.55564e-27
16000,628.693963807870675,2.88642e-32,1.55256e-27
16200,640.506254219291667,3.09858e-32,4.82505e-27
16400,646.844189425329022,3.52632e-32,2.23048e-26
16600,653.138327280908465,3.46492e-32,8.28398e-27
16800,660.474466396997509,3.29242e-32,1.22961e-27
17000,671.926405875841307,3.45234e-32,6.0961e-27
17200,678.244813813037653,4.83301e-32,2.75058e-26
17400,684.544319638019575,8.1042e-32,8.14668e-27
17600,692.524117084546681,9.62032e-32,8.24193e-28
17800,703.339572395339217,8.58579e-32,8.30322e-27
18000,709.645412706644332,9.71915e-32,3.25118e-26
18200,715.952937006530239,8.22551e-32,8.62941e-27
18400,725.152204393645182,8.32476e-32,1.80701e-28
18600,734.748256616562656,8.30159e-32,1.11542e-26
18800,741.046030062977121,6.76225e-32,3.3373e-26
19000,747.365434062080195,7.23793e-32,8.74735e-27
19200,758.113697793866907,8.15128e-32,1.11893e-27
19400,766.154048727238435,8.32253e-32,1.4403e-26
19600,772.446701385859343,7.75428e-32,3.09849e-26
19800,778.783687056272184,8.85564e-32,8.67096e-27
20000,790.279414586238181,8.11007e-32,2.31796e-27
