step,t,rel_energy_diff,max_rel_coord_diff
0,0.0,0.0,0.0
200,24.8581940269448212,2.0384e-16,1.69743e-14
400,49.6969400431413261,6.29221e-16,5.88932e-14
600,74.4044997889628031,1.38073e-15,1.34122e-13
800,98.8066837577824241,1.16247e-15,1.57508e-13
1000,122.291542735487705,3.69715e-16,1.57537e-13
1200,146.125021818724786,1.86697e-16,2.0179e-13
1400,170.586320752703032,2.97414e-16,3.0109e-13
1600,195.299510650382393,3.15028e-16,3.02702e-13
1800,220.13432749351633,3.04568e-16,2.50667e-13
2000,245.02693197439335,2.95123e-16,3.03451e-13
2200,269.935458258631682,1.28021e-15,1.73336e-13
2400,294.818278600539507,1.61402e-15,3.83627e-15
2600,319.625421613511909,1.28597e-15,1.24415e-13
2800,344.262608713907986,1.14546e-15,1.96502e-13
3000,368.478646404073062,1.13217e-15,1.37054e-13
3200,391.797895690065539,1.45696e-15,1.84942e-13
3400,415.913402359093508,1.15558e-15,3.64813e-13
3600,440.478033901205925,1.7877e-15,5.941e-13
3800,465.240236349786463,5.14973e-16,7.34172e-13
4000,490.098887580798373,9.82565e-16,9.47216e-13
4200,515.000901463682622,6.60524e-16,1.27372e-12
4400,539.905734193270486,2.51179e-16,1.20722e-12
4600,564.770815043828699,5.3451e-16,8.85699e-13
4800,589.537415707356709,9.48288e-16,9.74627e-13
5000,614.081652798193192,4.75998e-17,7.46211e-13
5200,638.005433259765633,1.38224e-16,4.90525e-13
5400,661.436105824577509,5.54275e-16,4.75597e-13
5600,685.745045747669799,5.92567e-16,9.0429e-13
5800,710.389529458414674,2.39876e-16,1.15109e-12
6000,735.190484234610319,4.58438e-16,1.15046e-12
6200,760.067714979412995,1.29317e-15,1.69813e-12
6400,784.975221831971366,1.07242e-15,2.06874e-12
6600,809.872135558768314,4.78809e-16,1.71226e-12
6800,834.713644243112054,7.74591e-17,1.45059e-12
7000,859.427425503250093,4.44804e-16,1.36758e-12
7200,883.8453460826607,6.12408e-16,9.17378e-13
7400,907.363422420542012,7.28188e-16,7.73503e-13
7600,931.159990944920843,8.13065e-16,9.24658e-13
7800,955.608904349789107,4.93538e-16,1.47044e-12
8000,980.31644279741355,1.03993e-15,1.74106e-12
8200,1005.14848676197661,8.04794e-16,1.83441e-12
8400,1030.03984665895746,1.25683e-15,2.74569e-12
8600,1054.948451406661,7.93479e-17,2.8986e-12
8800,1079.83281215329047,9.75622e-16,2.08974e-12
9000,1104.64367085055909,8.42058e-16,2.12042e-12
9200,1129.28919309059493,5.01258e-16,1.84868e-12
9400,1153.52825539462876,1.23764e-15,1.03626e-12
9600,1176.85183237261302,1.00679e-15,1.1091e-12
9800,1200.94330227538564,1.30087e-15,1.69436e-12
10000,1225.49848205665725,1.35339e-15,2.39407e-12
10200,1250.25604764152163,3.7095e-16,2.62608e-12
10400,1275.11242846315484,1.05051e-15,3.19555e-12
10600,1300.0136507252595,1.29225e-15,4.18714e-12
10800,1324.91911228634486,1.18477e-15,3.88329e-12
11000,1349.78632610068012,6.84726e-16,2.78279e-12
11200,1374.55761034464382,6.08367e-16,2.94275e-12
11400,1399.11267542023135,4.9485e-16,2.28217e-12
11600,1423.07418480182068,6.04969e-16,1.45411e-12
11800,1446.4794405717447,5.16316e-16,1.33203e-12
12000,1470.77101224763993,1.33601e-16,2.50285e-12
12200,1495.40799177744933,7.46549e-16,3.07989e-12
12400,1520.20534569775684,3.71987e-16,2.95216e-12
12600,1545.08092103664938,1.17255e-15,4.00333e-12
12800,1569.98807031457963,1.59433e-15,4.40676e-12
13000,1594.88597581509055,1.69837e-15,3.37448e-12
13200,1619.73017844047225,1.13251e-15,2.66037e-12
13400,1644.4501052839507,1.26502e-15,2.39033e-12
13600,1668.88331319167429,6.08798e-16,1.56523e-12
13800,1692.43709434070849,7.50065e-16,1.2215e-12
14000,1716.19551091738258,1.12653e-15,1.3479e-12
14200,1740.63182337703549,2.17863e-15,1.97942e-12
14400,1765.33356369658016,2.23919e-15,2.11386e-12
14600,1790.16270139502957,1.4064e-15,1.93967e-12
14800,1815.05274245270848,1.75715e-15,2.60209e-12
15000,1839.96140391116317,1.10052e-15,2.50242e-12
15200,1864.84730597943351,9.78142e-16,1.70131e-12
15400,1889.6617979656565,4.88913e-16,1.56424e-12
15600,1914.31532626619768,6.45607e-16,1.2822e-12
15800,1938.57622698009188,1.25159e-16,6.95119e-13
16000,1961.90745451023787,7.16564e-16,6.79308e-13
16200,1985.97377090375277,1.88249e-16,9.70609e-13
16400,2010.51910983086194,3.4961e-16,1.31237e-12
16600,2035.27191157609649,1.14054e-15,1.33715e-12
16800,2060.12601471185894,2.01722e-15,1.41448e-12
17000,2085.02644092286439,2.0196e-15,1.61902e-12
17200,2109.93247269731763,1.34092e-15,1.27666e-12
17400,2134.80170212647309,1.59499e-15,7.4233e-13
17600,2159.5775067908439,1.21131e-15,6.54155e-13
17800,2184.14315320927782,1.76623e-15,4.16036e-13
18000,2208.14063893555599,1.69141e-15,1.85059e-13
18200,2231.52357996235497,1.32808e-15,1.23346e-13
18400,2255.79723805981736,1.7253e-15,1.33478e-13
18600,2280.4266384830321,2.48637e-15,2.44253e-14
18800,2305.22034135112656,3.01341e-15,2.51063e-13
19000,2330.09417681268174,3.13367e-15,6.80662e-13
19200,2355.00087749596081,3.63344e-15,1.23735e-12
19400,2379.89972371852426,3.74767e-15,1.40075e-12
19600,2404.74660274380002,3.25023e-15,1.45183e-12
19800,2429.4725803361837,3.28752e-15,1.63773e-12
20000,2453.92048460438304,2.94997e-15,1.28013e-12
