sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err,rel_phase_err
0,0,0.0,0.0,0.0,0.0,3.88938e-62,1.55498e-61,1.54868e-73
1,100000,995.215629244,6250.0,3.31613e-15,7.01435e-16,1.69769e-11,1.51435e-11,3.08888e-12
2,200000,1990.43125849,12500.0,7.48427e-16,8.91976e-16,3.76197e-11,2.90059e-11,1.01095e-11
3,300000,2985.64688773,18750.0,6.22514e-15,6.43276e-16,6.54018e-11,5.09424e-11,1.60058e-11
4,400000,3980.86251697,25000.0,2.54814e-17,7.68983e-17,1.50701e-10,1.70011e-10,2.1523e-11
5,500000,4976.07814622,31250.0,6.26577e-15,1.74741e-15,2.29179e-10,3.56089e-10,2.61841e-11
6,600000,5971.29377546,37500.0,5.28416e-15,1.77034e-15,1.53267e-10,1.23187e-10,3.36548e-11
7,700000,6966.50940471,43750.0,1.54057e-15,1.48988e-15,1.5072e-10,1.16153e-10,4.16077e-11
8,800000,7961.72503395,50000.0,2.98335e-15,2.43178e-16,2.11242e-10,1.72542e-10,4.4502e-11
9,900000,8956.94066319,56250.0,3.89345e-15,2.69572e-16,4.67355e-10,8.23099e-10,4.9589e-11
10,1000000,9952.15629244,62500.0,8.57259e-16,1.33044e-15,3.39699e-10,3.56365e-10,5.17403e-11
11,1100000,10947.3719217,68750.0,6.07717e-15,1.47505e-15,1.79214e-10,1.39089e-10,4.51494e-11
12,1200000,11942.5875509,75000.0,2.58017e-15,7.28065e-16,1.36345e-10,1.05201e-10,3.60281e-11
13,1300000,12937.8031802,81250.0,5.74508e-15,1.14338e-15,1.54288e-10,1.43211e-10,2.65825e-11
14,1400000,13933.0188094,87500.0,8.82694e-16,1.06373e-16,2.32942e-10,5.18661e-10,2.18016e-11
15,1500000,14928.2344387,93750.0,8.66656e-16,9.77269e-17,1.33022e-10,1.14878e-10,2.54896e-11
16,1600000,15923.4500679,100000.0,1.39416e-14,3.08354e-15,1.31854e-10,1.01761e-10,3.59391e-11
17,1700000,16918.6656971,106250.0,2.20019e-14,3.53891e-15,2.62279e-10,2.05524e-10,6.21707e-11
18,1800000,17913.8813264,112500.0,1.43321e-14,2.55496e-15,6.67663e-10,8.20922e-10,8.91148e-11
19,1900000,18909.0969556,118750.0,1.14145e-14,2.58064e-15,9.29691e-10,1.28657e-9,1.1441e-10
20,2000000,19904.3125849,125000.0,3.07062e-15,1.82902e-15,5.37766e-10,4.26625e-10,1.22637e-10
21,2100000,20899.5282141,131250.0,2.70621e-15,1.54146e-15,4.57752e-10,3.52515e-10,1.25763e-10
22,2200000,21894.7438434,137500.0,5.92058e-15,1.72798e-15,6.60637e-10,5.51069e-10,1.33182e-10
23,2300000,22889.9594726,143750.0,4.48129e-15,1.60283e-15,1.39993e-9,2.79063e-9,1.38834e-10
24,2400000,23885.1751018,150000.0,2.83345e-15,1.89833e-15,8.91156e-10,8.79017e-10,1.44156e-10
25,2500000,24880.3907311,156250.0,4.07057e-15,2.47763e-15,5.74134e-10,4.43947e-10,1.48143e-10
26,2600000,25875.6063603,162500.0,3.15572e-15,2.25965e-15,6.02628e-10,4.65282e-10,1.55862e-10
27,2700000,26870.8219896,168750.0,2.26361e-15,2.44088e-15,9.78586e-10,9.55599e-10,1.59496e-10
28,2800000,27866.0376188,175000.0,3.78506e-15,2.08605e-15,1.63574e-9,3.32035e-9,1.6078e-10
29,2900000,28861.2532481,181250.0,1.63819e-15,2.95306e-15,8.05903e-10,6.75914e-10,1.61605e-10
30,3000000,29856.4688773,187500.0,7.85299e-15,9.31887e-16,5.52091e-10,4.25384e-10,1.51607e-10
31,3100000,30851.6845066,193750.0,6.17292e-15,1.43485e-15,6.06051e-10,4.79195e-10,1.38754e-10
