sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err,rel_phase_err
0,0,0.0,0.0,0.0,0.0,3.88938e-62,1.55498e-61,1.54868e-73
1,100000,995.215629244,6250.0,8.28065e-16,1.22498e-16,6.36277e-12,5.67448e-12,1.15785e-12
2,200000,1990.43125849,12500.0,2.36866e-15,4.59608e-16,3.5806e-12,2.76843e-12,9.63829e-13
3,300000,2985.64688773,18750.0,6.31941e-15,2.02006e-15,2.158e-11,1.68023e-11,5.28204e-12
4,400000,3980.86251698,25000.0,6.85682e-16,6.16949e-16,1.03943e-10,1.1732e-10,1.4852e-11
5,500000,4976.07814622,31250.0,8.0985e-16,5.47071e-16,1.64732e-10,2.55932e-10,1.8819e-11
6,600000,5971.29377546,37500.0,3.0873e-15,1.98943e-16,8.80149e-11,7.06716e-11,1.93091e-11
7,700000,6966.50940471,43750.0,3.52174e-15,1.13995e-15,8.73715e-11,6.7297e-11,2.41124e-11
8,800000,7961.72503395,50000.0,3.60738e-15,3.0932e-15,1.13111e-10,9.24715e-11,2.38515e-11
9,900000,8956.94066319,56250.0,9.98548e-15,5.07215e-15,1.76361e-10,3.1079e-10,1.87236e-11
10,1000000,9952.15629244,62500.0,1.58486e-14,4.54382e-15,3.43475e-11,3.61705e-11,5.2503e-12
11,1100000,10947.3719217,68750.0,1.31032e-14,4.06073e-15,1.10932e-10,8.59841e-11,2.79101e-11
12,1200000,11942.5875509,75000.0,5.60498e-16,1.53571e-15,1.33916e-10,1.03125e-10,3.53188e-11
13,1300000,12937.8031802,81250.0,1.07659e-14,4.24721e-16,1.56415e-10,1.45165e-10,2.6944e-11
14,1400000,13933.0188094,87500.0,1.35239e-14,1.26959e-15,7.72505e-11,1.72484e-10,7.2504e-12
15,1500000,14928.2344387,93750.0,2.42362e-14,2.95524e-15,1.07717e-10,9.25783e-11,2.05385e-11
16,1600000,15923.4500679,100000.0,3.42648e-14,5.33177e-15,2.36858e-10,1.82401e-10,6.44297e-11
17,1700000,16918.6656971,106250.0,3.9578e-14,6.06337e-15,5.00494e-10,3.92601e-10,1.18769e-10
18,1800000,17913.8813264,112500.0,4.52494e-14,6.60202e-15,1.37562e-9,1.69292e-9,1.83774e-10
19,1900000,18909.0969556,118750.0,4.48001e-14,7.49716e-15,2.03662e-9,2.81689e-9,2.50493e-10
20,2000000,19904.3125849,125000.0,4.96412e-14,9.05642e-15,1.41993e-9,1.12521e-9,3.23456e-10
21,2100000,20899.5282141,131250.0,4.28812e-14,7.67359e-15,1.43853e-9,1.10754e-9,3.95162e-10
