sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err,rel_phase_err
0,0,0.0,0.0,0.0,0.0,3.88938e-62,1.55498e-61,1.54868e-73
1,100000,995.215629244,6250.0,9.75723e-15,2.5832e-15,4.8849e-11,4.35417e-11,8.88194e-12
2,200000,1990.43125849,12500.0,9.87974e-15,2.62531e-15,8.79429e-11,6.77129e-11,2.36037e-11
3,300000,2985.64688773,18750.0,7.62701e-15,2.56332e-15,1.35386e-10,1.05396e-10,3.31176e-11
4,400000,3980.86251698,25000.0,5.30951e-15,2.49698e-15,2.84768e-10,3.21427e-10,4.06918e-11
5,500000,4976.07814622,31250.0,8.57902e-15,3.86061e-15,4.54796e-10,7.06669e-10,5.19627e-11
6,600000,5971.29377546,37500.0,1.70548e-14,5.51646e-15,3.27239e-10,2.62727e-10,7.17805e-11
7,700000,6966.50940471,43750.0,1.98675e-14,6.18204e-15,3.70798e-10,2.85437e-10,1.02262e-10
8,800000,7961.72503395,50000.0,2.41182e-14,6.57748e-15,6.38189e-10,5.2134e-10,1.34472e-10
9,900000,8956.94066319,56250.0,3.00666e-14,8.17152e-15,1.65687e-9,2.91956e-9,1.75891e-10
10,1000000,9952.15629244,62500.0,2.67458e-14,8.24505e-15,1.44659e-9,1.51679e-9,2.20219e-10
11,1100000,10947.3719217,68750.0,2.5969e-14,7.47777e-15,1.02835e-9,7.96884e-10,2.58687e-10
12,1200000,11942.5875509,75000.0,2.14095e-14,6.96206e-15,1.11797e-9,8.61975e-10,2.95235e-10
13,1300000,12937.8031802,81250.0,2.51918e-14,4.8045e-15,1.90506e-9,1.77058e-9,3.28666e-10
14,1400000,13933.0188094,87500.0,1.26513e-14,1.01237e-15,3.83345e-9,8.5409e-9,3.59003e-10
15,1500000,14928.2344387,93750.0,8.32863e-15,4.19856e-16,1.95196e-9,1.68144e-9,3.73098e-10
16,1600000,15923.4500679,100000.0,1.48944e-14,9.92414e-16,1.43589e-9,1.10571e-9,3.90583e-10
17,1700000,16918.6656971,106250.0,1.35204e-14,2.4556e-15,1.72338e-9,1.35117e-9,4.08729e-10
18,1800000,17913.8813264,112500.0,2.10508e-14,2.96822e-15,3.2541e-9,4.0037e-9,4.34613e-10
19,1900000,18909.0969556,118750.0,1.8369e-14,1.36607e-15,3.75751e-9,5.19775e-9,4.62216e-10
20,2000000,19904.3125849,125000.0,2.38896e-14,3.16915e-15,2.15333e-9,1.70693e-9,4.90683e-10
21,2100000,20899.5282141,131250.0,2.49652e-14,3.99081e-15,1.92608e-9,1.48323e-9,5.29202e-10
22,2200000,21894.7438434,137500.0,2.15071e-14,3.78039e-15,2.79737e-9,2.33515e-9,5.6437e-10
23,2300000,22889.9594726,143750.0,2.5623e-14,5.44071e-15,6.01329e-9,1.19898e-8,5.96488e-10
24,2400000,23885.1751019,150000.0,2.24184e-14,4.30967e-15,3.91138e-9,3.85526e-9,6.3225e-10
25,2500000,24880.3907311,156250.0,2.53711e-14,5.33019e-15,2.5859e-9,1.99822e-9,6.66847e-10
26,2600000,25875.6063603,162500.0,2.3414e-14,4.96879e-15,2.72423e-9,2.10463e-9,7.05067e-10
27,2700000,26870.8219896,168750.0,2.48889e-14,5.07666e-15,4.54083e-9,4.43792e-9,7.40722e-10
28,2800000,27866.0376188,175000.0,2.34372e-14,3.02411e-15,7.94032e-9,1.61136e-8,7.80254e-10
29,2900000,28861.2532481,181250.0,1.5147e-14,1.38251e-15,4.03195e-9,3.3781e-9,8.07677e-10
30,3000000,29856.4688773,187500.0,6.62171e-15,3.35489e-16,3.00076e-9,2.31103e-9,8.23715e-10
31,3100000,30851.6845066,193750.0,1.47553e-15,2.55483e-17,3.62489e-9,2.86906e-9,8.308e-10
32,3200000,31846.9001358,200000.0,9.54546e-17,1.50037e-15,6.71222e-9,9.13064e-9,8.3505e-10
33,3300000,32842.115765,206250.0,5.21671e-15,2.32041e-15,6.28853e-9,7.84991e-9,8.308e-10
34,3400000,33837.3313943,212500.0,1.1921e-15,8.74872e-16,3.49556e-9,2.7443e-9,8.24873e-10
35,3500000,34832.5470235,218750.0,6.87876e-15,5.27636e-16,3.05692e-9,2.35492e-9,8.33243e-10
36,3600000,35827.7626528,225000.0,3.58135e-15,5.51507e-16,4.36237e-9,3.74097e-9,8.40226e-10
37,3700000,36822.978282,231250.0,2.61085e-15,1.81468e-15,8.96497e-9,1.97453e-8,8.44295e-10
38,3800000,37818.1939113,237500.0,2.71391e-15,9.69862e-16,4.95587e-9,4.63901e-9,8.47758e-10
39,3900000,38813.4095405,243750.0,2.21557e-15,1.78229e-15,3.22321e-9,2.48683e-9,8.49104e-10
40,4000000,39808.6251698,250000.0,4.60933e-15,1.1612e-15,3.3747e-9,2.61512e-9,8.52854e-10
41,4100000,40803.840799,256250.0,2.1912e-15,1.88099e-15,5.55913e-9,5.76972e-9,8.54443e-10
42,4200000,41799.0564282,262500.0,3.27197e-15,2.43305e-15,8.1892e-9,1.47129e-8,8.59557e-10
43,4300000,42794.2720575,268750.0,2.19125e-15,2.39475e-15,4.12636e-9,3.38148e-9,8.6389e-10
44,4400000,43789.4876867,275000.0,1.31505e-14,8.40744e-16,3.16065e-9,2.43506e-9,8.72093e-10
45,4500000,44784.703316,281250.0,1.67885e-14,5.77462e-17,4.05219e-9,3.24806e-9,8.94843e-10
46,4600000,45779.9189452,287500.0,2.64282e-14,2.45547e-15,8.03326e-9,1.22493e-8,9.2838e-10
47,4700000,46775.1345745,293750.0,2.90819e-14,3.10283e-15,6.87175e-9,7.85123e-9,9.71677e-10
48,4800000,47770.3502037,300000.0,2.66426e-14,1.36603e-15,4.15644e-9,3.24063e-9,1.01261e-9
49,4900000,48765.5658329,306250.0,3.5364e-14,3.3132e-15,3.92803e-9,3.0274e-9,1.05781e-9
50,5000000,49760.7814622,312500.0,3.64885e-14,3.53503e-15,6.0632e-9,5.37461e-9,1.11158e-9
51,5100000,50755.9970914,318750.0,2.69894e-14,7.20455e-16,1.26371e-8,2.91513e-8,1.1626e-9
52,5200000,51751.2127207,325000.0,2.19246e-14,6.56068e-16,6.63612e-9,5.95146e-9,1.19744e-9
53,5300000,52746.4283499,331250.0,2.04141e-14,1.58925e-16,4.58502e-9,3.53419e-9,1.22901e-9
54,5400000,53741.6439792,337500.0,2.06242e-14,6.4139e-16,5.12246e-9,3.98663e-9,1.25939e-9
55,5500000,54736.8596084,343750.0,1.89585e-14,4.31831e-16,8.94442e-9,9.97074e-9,1.29066e-9
56,5600000,55732.0752377,350000.0,1.85214e-14,2.39555e-16,1.1686e-8,1.85049e-8,1.31983e-9
57,5700000,56727.2908669,356250.0,2.09929e-14,2.47018e-16,6.1992e-9,4.99166e-9,1.35236e-9
58,5800000,57722.5064961,362500.0,1.67279e-14,7.50559e-16,5.01155e-9,3.86061e-9,1.38352e-9
59,5900000,58717.7221254,368750.0,2.42377e-14,1.7758e-16,6.66455e-9,5.42922e-9,1.41355e-9
60,6000000,59712.9377546,375000.0,2.06795e-14,1.27976e-15,1.34898e-8,2.3301e-8,1.44783e-9
61,6100000,60708.1533839,381250.0,1.65029e-14,1.37091e-15,9.79058e-9,1.03751e-8,1.47629e-9
62,6200000,61703.3690131,387500.0,1.73682e-14,1.22157e-15,5.98259e-9,4.64136e-9,1.49963e-9
63,6300000,62698.5846424,393750.0,1.30731e-14,1.80766e-15,5.74588e-9,4.43172e-9,1.52249e-9
64,6400000,63693.8002716,400000.0,1.05167e-14,3.64481e-15,8.84145e-9,8.16019e-9,1.53815e-9
65,6500000,64689.0159008,406250.0,1.27977e-14,2.85733e-15,1.66593e-8,3.74804e-8,1.552e-9
66,6600000,65684.2315301,412500.0,8.46328e-15,4.49231e-15,8.25573e-9,7.14776e-9,1.56657e-9
67,6700000,66679.4471593,418750.0,9.84887e-15,4.42239e-15,5.8004e-9,4.46953e-9,1.57604e-9
68,6800000,67674.6627886,425000.0,5.85477e-15,4.18604e-15,6.64822e-9,5.20739e-9,1.58507e-9
69,6900000,68669.8784178,431250.0,2.54088e-15,6.60465e-15,1.18206e-8,1.43351e-8,1.59537e-9
70,7000000,69665.0940471,437500.0,3.11128e-15,6.8903e-15,1.31557e-8,1.85123e-8,1.60007e-9
71,7100000,70660.3096763,443750.0,3.14716e-15,9.9082e-15,7.05247e-9,5.60285e-9,1.5987e-9
72,7200000,71655.5253056,450000.0,2.75488e-15,9.79875e-15,5.78885e-9,4.46021e-9,1.5928e-9
73,7300000,72650.7409348,456250.0,4.82223e-15,8.46853e-15,7.85367e-9,6.53197e-9,1.59546e-9
74,7400000,73645.956564,462500.0,8.85558e-15,7.75209e-15,1.60503e-8,3.14167e-8,1.60731e-9
75,7500000,74641.1721933,468750.0,1.19666e-14,7.40171e-15,1.01329e-8,1.00783e-8,1.62348e-9
76,7600000,75636.3878225,475000.0,1.16067e-14,8.97472e-15,6.37656e-9,4.93219e-9,1.63947e-9
77,7700000,76631.6034518,481250.0,2.90385e-15,1.14839e-14,6.34911e-9,4.90498e-9,1.64933e-9
78,7800000,77626.819081,487500.0,4.6754e-15,1.35614e-14,1.00264e-8,9.71576e-9,1.64987e-9
79,7900000,78622.0347103,493750.0,1.08578e-14,1.53789e-14,1.68559e-8,3.47894e-8,1.6414e-9
80,8000000,79617.2503395,500000.0,5.68194e-15,1.47122e-14,8.18837e-9,6.88994e-9,1.62935e-9
81,8100000,80612.4659687,506250.0,5.18011e-15,1.336e-14,5.91821e-9,4.56071e-9,1.62375e-9
82,8200000,81607.681598,512500.0,7.27578e-15,1.40113e-14,7.00744e-9,5.53785e-9,1.6151e-9
83,8300000,82602.8972272,518750.0,5.43945e-15,1.31413e-14,1.2766e-8,1.70781e-8,1.60567e-9
84,8400000,83598.1128565,525000.0,4.69596e-15,1.37927e-14,1.2224e-8,1.54897e-8,1.59765e-9
85,8500000,84593.3284857,531250.0,9.05897e-15,1.49647e-14,6.74081e-9,5.30177e-9,1.58325e-9
86,8600000,85588.544115,537500.0,1.29821e-14,1.40345e-14,5.74103e-9,4.42433e-9,1.56791e-9
87,8700000,86583.7597442,543750.0,1.61415e-14,1.48699e-14,7.9599e-9,6.79442e-9,1.54432e-9
88,8800000,87578.9753735,550000.0,1.78671e-14,1.49498e-14,1.60168e-8,3.48266e-8,1.51788e-9
89,8900000,88574.1910027,556250.0,2.24775e-14,1.7069e-14,8.77285e-9,8.27486e-9,1.48832e-9
90,9000000,89569.4066319,562500.0,2.20296e-14,1.47296e-14,5.53184e-9,4.27147e-9,1.45374e-9
91,9100000,90564.6222612,568750.0,1.86575e-14,1.49316e-14,5.61101e-9,4.34666e-9,1.4239e-9
92,9200000,91559.8378904,575000.0,1.9177e-14,1.4603e-14,8.98971e-9,9.23521e-9,1.39449e-9
93,9300000,92555.0535197,581250.0,2.23683e-14,1.53928e-14,1.31531e-8,2.40973e-8,1.36554e-9
94,9400000,93550.2691489,587500.0,2.92779e-14,1.78618e-14,6.38282e-9,5.24936e-9,1.3281e-9
