sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err,rel_phase_err
0,0,0.0,0.0,0.0,0.0,3.88938e-62,1.55498e-61,1.54868e-73
1,100000,995.215629244,6250.0,5.16679e-15,5.85471e-16,1.55306e-11,1.38567e-11,2.82606e-12
2,200000,1990.43125849,12500.0,1.2066e-14,7.6102e-16,4.78952e-11,3.68975e-11,1.28611e-11
3,300000,2985.64688773,18750.0,1.68109e-14,1.99108e-15,1.44316e-10,1.12323e-10,3.52966e-11
4,400000,3980.86251698,25000.0,1.74769e-14,6.23802e-17,4.12755e-10,4.65732e-10,5.89623e-11
5,500000,4976.07814622,31250.0,2.32646e-14,1.4951e-15,7.8007e-10,1.21232e-9,8.91429e-11
6,600000,5971.29377546,37500.0,2.27799e-14,1.74679e-15,5.64465e-10,4.53311e-10,1.23852e-10
7,700000,6966.50940471,43750.0,2.1655e-14,1.79041e-15,5.6201e-10,4.32561e-10,1.54977e-10
8,800000,7961.72503395,50000.0,1.76726e-14,1.42542e-15,8.66784e-10,7.079e-10,1.82593e-10
9,900000,8956.94066319,56250.0,2.31876e-14,1.61497e-15,2.03886e-9,3.59264e-9,2.16441e-10
10,1000000,9952.15629244,62500.0,2.49419e-14,1.73146e-15,1.6717e-9,1.75301e-9,2.54514e-10
11,1100000,10947.3719217,68750.0,2.19441e-14,6.02939e-16,1.14097e-9,8.84047e-10,2.86983e-10
12,1200000,11942.5875509,75000.0,1.77662e-14,1.14994e-16,1.20492e-9,9.28722e-10,3.18101e-10
13,1300000,12937.8031802,81250.0,2.1297e-14,1.44107e-16,2.01979e-9,1.87705e-9,3.48428e-10
14,1400000,13933.0188094,87500.0,2.97902e-14,1.83987e-15,4.15644e-9,9.26169e-9,3.893e-10
15,1500000,14928.2344387,93750.0,2.95499e-14,2.17146e-15,2.27351e-9,1.95839e-9,4.34549e-10
16,1600000,15923.4500679,100000.0,3.03361e-14,3.74383e-15,1.75146e-9,1.34815e-9,4.76225e-10
17,1700000,16918.6656971,106250.0,3.90868e-14,6.94882e-15,2.22827e-9,1.74634e-9,5.28275e-10
18,1800000,17913.8813264,112500.0,3.93033e-14,6.37243e-15,4.3812e-9,5.3906e-9,5.85165e-10
19,1900000,18909.0969556,118750.0,3.55195e-14,7.43732e-15,5.20273e-9,7.19803e-9,6.40093e-10
20,2000000,19904.3125849,125000.0,3.85886e-14,7.02135e-15,3.04761e-9,2.41526e-9,6.94306e-10
21,2100000,20899.5282141,131250.0,3.56739e-14,6.19121e-15,2.73136e-9,2.10214e-9,7.50026e-10
22,2200000,21894.7438434,137500.0,3.63022e-14,6.45039e-15,3.97981e-9,3.32136e-9,8.02725e-10
23,2300000,22889.9594726,143750.0,4.09943e-14,8.23062e-15,8.65406e-9,1.7258e-8,8.5858e-10
24,2400000,23885.1751019,150000.0,4.22163e-14,8.38258e-15,5.68964e-9,5.60835e-9,9.1975e-10
25,2500000,24880.3907311,156250.0,4.51794e-14,9.69148e-15,3.82174e-9,2.95183e-9,9.85084e-10
26,2600000,25875.6063603,162500.0,4.56744e-14,9.14931e-15,4.07701e-9,3.14786e-9,1.05456e-9
27,2700000,26870.8219896,168750.0,4.88119e-14,9.75496e-15,6.91547e-9,6.75819e-9,1.12799e-9
28,2800000,27866.0376188,175000.0,5.06444e-14,1.11838e-14,1.22389e-8,2.48426e-8,1.20293e-9
29,2900000,28861.2532481,181250.0,5.31339e-14,1.19574e-14,6.37746e-9,5.34255e-9,1.27736e-9
30,3000000,29856.4688773,187500.0,4.92306e-14,1.02917e-14,4.94649e-9,3.80696e-9,1.3569e-9
31,3100000,30851.6845066,193750.0,4.98938e-14,1.02402e-14,6.2503e-9,4.94484e-9,1.4319e-9
32,3200000,31846.9001358,200000.0,5.35882e-14,1.14351e-14,1.21371e-8,1.6512e-8,1.51012e-9
33,3300000,32842.115765,206250.0,4.77855e-14,8.71362e-15,1.19899e-8,1.49693e-8,1.58428e-9
34,3400000,33837.3313943,212500.0,5.79203e-14,9.10705e-15,7.05232e-9,5.53419e-9,1.66344e-9
35,3500000,34832.5470235,218750.0,5.74327e-14,8.70492e-15,6.42131e-9,4.94248e-9,1.74881e-9
36,3600000,35827.7626528,225000.0,6.60671e-14,1.11366e-14,9.55036e-9,8.1879e-9,1.83902e-9
37,3700000,36822.978282,231250.0,6.98329e-14,1.08761e-14,2.05612e-8,4.52993e-8,1.93696e-9
38,3800000,37818.1939113,237500.0,7.57103e-14,1.31496e-14,1.19482e-8,1.11839e-8,2.0438e-9
39,3900000,38813.4095405,243750.0,6.75609e-14,1.12675e-14,8.17154e-9,6.2995e-9,2.1509e-9
40,4000000,39808.6251698,250000.0,6.45878e-14,1.2631e-14,8.91188e-9,6.90052e-9,2.25043e-9
41,4100000,40803.840799,256250.0,7.05826e-14,1.47491e-14,1.5283e-8,1.58621e-8,2.34903e-9
42,4200000,41799.0564282,262500.0,6.87541e-14,1.33371e-14,2.33554e-8,4.19739e-8,2.4522e-9
43,4300000,42794.2720575,268750.0,7.06758e-14,1.34342e-14,1.22276e-8,1.00165e-8,2.55898e-9
