sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err,rel_phase_err
0,0,0.0,0.0,0.0,0.0,3.88938e-62,1.55498e-61,1.54868e-73
1,100000,995.215629244,6250.0,5.99841e-15,9.80433e-16,2.20759e-11,1.96851e-11,4.01508e-12
2,200000,1990.43125849,12500.0,1.22417e-15,1.46315e-15,2.63596e-11,2.03041e-11,7.07749e-12
3,300000,2985.64688773,18750.0,5.75032e-15,2.51179e-15,2.14976e-13,1.50582e-13,4.63859e-14
4,400000,3980.86251697,25000.0,8.00005e-16,1.13056e-15,2.59016e-11,2.9273e-11,3.70544e-12
5,500000,4976.07814622,31250.0,2.70699e-16,4.44096e-16,6.36818e-11,9.88815e-11,7.27082e-12
6,600000,5971.29377546,37500.0,1.15029e-16,2.42238e-15,1.94492e-11,1.56084e-11,4.26403e-12
7,700000,6966.50940471,43750.0,4.81163e-15,2.16221e-15,2.35131e-12,1.84843e-12,6.61428e-13
8,800000,7961.72503395,50000.0,2.14662e-15,6.00052e-16,2.34583e-11,1.91494e-11,4.94001e-12
9,900000,8956.94066319,56250.0,4.36188e-15,1.13927e-15,7.28019e-11,1.28485e-10,7.74043e-12
10,1000000,9952.15629244,62500.0,1.11226e-14,3.44743e-15,1.13972e-10,1.19387e-10,1.73328e-11
11,1100000,10947.3719217,68750.0,9.35266e-15,2.96067e-15,1.28026e-10,9.90762e-11,3.21627e-11
12,1200000,11942.5875509,75000.0,1.64947e-14,3.52747e-15,1.96909e-10,1.51802e-10,5.19967e-11
13,1300000,12937.8031802,81250.0,9.51083e-15,1.1953e-15,3.99897e-10,3.7189e-10,6.90332e-11
14,1400000,13933.0188094,87500.0,5.43941e-15,8.00256e-16,8.41455e-10,1.87481e-9,7.88042e-11
15,1500000,14928.2344387,93750.0,3.87617e-15,2.29912e-15,4.56252e-10,3.92685e-10,8.71345e-11
16,1600000,15923.4500679,100000.0,1.43845e-14,4.17642e-15,3.59638e-10,2.76793e-10,9.77764e-11
17,1700000,16918.6656971,106250.0,2.20773e-14,3.97786e-15,5.29824e-10,4.15577e-10,1.25717e-10
18,1800000,17913.8813264,112500.0,2.78993e-14,6.58352e-15,1.20786e-9,1.48674e-9,1.6139e-10
19,1900000,18909.0969556,118750.0,1.78825e-14,4.83664e-15,1.58984e-9,2.1987e-9,1.95521e-10
20,2000000,19904.3125849,125000.0,1.52812e-14,4.33896e-15,9.6414e-10,7.638e-10,2.19568e-10
21,2100000,20899.5282141,131250.0,5.97538e-15,4.08164e-15,8.72296e-10,6.71605e-10,2.39625e-10
22,2200000,21894.7438434,137500.0,4.27684e-15,5.15423e-15,1.22749e-9,1.02508e-9,2.47744e-10
23,2300000,22889.9594726,143750.0,1.71322e-15,3.0895e-15,2.50254e-9,4.99079e-9,2.48289e-10
24,2400000,23885.1751018,150000.0,1.06163e-15,1.67531e-15,1.52788e-9,1.50523e-9,2.46854e-10
25,2500000,24880.3907311,156250.0,2.37585e-15,2.42907e-15,9.57945e-10,7.39852e-10,2.46905e-10
26,2600000,25875.6063603,162500.0,2.18021e-15,3.37061e-15,9.75942e-10,7.54242e-10,2.52675e-10
27,2700000,26870.8219896,168750.0,6.35671e-16,1.00258e-15,1.56319e-9,1.5287e-9,2.55151e-10
28,2800000,27866.0376188,175000.0,2.67007e-16,3.68142e-16,2.61737e-9,5.31057e-9,2.57148e-10
29,2900000,28861.2532481,181250.0,2.45722e-15,1.29225e-15,1.2859e-9,1.07645e-9,2.57373e-10
30,3000000,29856.4688773,187500.0,1.42528e-15,1.71338e-15,9.51516e-10,7.32648e-10,2.61136e-10
31,3100000,30851.6845066,193750.0,3.55055e-15,2.34667e-15,1.16858e-9,9.25771e-10,2.68078e-10
32,3200000,31846.9001358,200000.0,9.39285e-15,4.72426e-15,2.22346e-9,3.02645e-9,2.76786e-10
33,3300000,32842.115765,206250.0,1.37119e-14,5.03701e-15,2.22688e-9,2.77789e-9,2.93998e-10
34,3400000,33837.3313943,212500.0,1.28363e-14,5.05928e-15,1.32976e-9,1.04296e-9,3.1349e-10
35,3500000,34832.5470235,218750.0,8.36624e-15,3.72793e-15,1.20616e-9,9.29446e-10,3.2887e-10
