sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err
0,0,0.0,0.0,0.0,0.0,0.0,1.55498e-61
1,250,4.94824822053,31.075226784562924777,1.17606e-20,5.56498e-24,3.66909e-19,6.75901e-19
2,500,9.88433395818,62.074072616395854796,2.35213e-20,1.11048e-23,1.24942e-18,1.5412e-18
3,750,14.7695509952,92.75346066467969175,3.52834e-20,1.6674e-23,2.01208e-18,1.70632e-18
4,1000,19.4730327448,122.29154273548770499,4.48183e-20,2.12882e-23,2.36253e-18,1.81087e-18
5,1250,24.2361684724,152.20425453680580557,5.64834e-20,2.68179e-23,5.14304e-18,4.46947e-18
6,1500,29.1274933416,182.92200005250315433,6.82516e-20,3.23246e-23,1.04599e-17,1.24062e-17
7,1750,34.0631905473,213.9184058856751841,8.00195e-20,3.78281e-23,1.84792e-17,3.1795e-17
8,2000,39.0167411659,245.0269319743933494,9.17875e-20,4.33441e-23,2.81851e-17,6.33049e-17
9,2250,43.9742336864,276.16021338876773123,1.03554e-19,4.88781e-23,3.53358e-17,7.64528e-17
10,2500,48.922507388,307.23560019564699589,1.15323e-19,5.44056e-23,3.66604e-17,5.71415e-17
11,2750,53.8416647256,338.12813489531904161,1.2709e-19,5.99273e-23,3.31886e-17,3.44267e-17
12,3000,58.674513271,368.47864640407306206,1.38754e-19,6.56498e-23,2.59891e-17,2.03065e-17
13,3250,63.3365161586,397.75623931063918917,1.48423e-19,6.92502e-23,2.92453e-17,2.29937e-17
14,3500,68.1780692193,428.1614155763179377,1.60179e-19,7.47529e-23,4.9446e-17,4.84725e-17
15,3750,73.0946692704,459.03789039880690497,1.71947e-19,8.02336e-23,7.62529e-17,1.0709e-16
16,4000,78.0406516473,490.09888758079837249,1.83714e-19,8.5719e-23,1.07064e-16,2.13472e-16
17,4250,82.9975648275,521.22853071159485907,1.95482e-19,9.12232e-23,1.30909e-16,3.02188e-16
18,4500,87.9525727793,552.34620891968527572,2.07248e-19,9.67378e-23,1.3345e-16,2.54581e-16
19,4750,92.8910295963,583.35994523938910978,2.19013e-19,1.02239e-22,1.17658e-16,1.52015e-16
20,5000,97.7829853595,614.08165279819319139,2.30782e-19,1.07761e-22,9.22575e-17,8.17657e-17
21,5250,102.507249501,643.75024924533036901,2.40355e-19,1.11947e-22,6.6915e-17,5.14226e-17
22,5500,107.249065113,673.52906973981194525,2.51942e-19,1.17024e-22,1.01265e-16,8.55456e-17
23,5750,112.134395879,704.20917201489126644,2.63703e-19,1.22526e-22,1.55498e-16,1.78084e-16
24,6000,117.067689661,735.19048423461031866,2.75463e-19,1.28025e-22,2.18768e-16,3.64573e-16
25,6250,122.02033258,766.29330992927064287,2.87225e-19,1.33536e-22,2.77824e-16,6.15622e-16
26,6500,126.977983016,797.4275830588167945,2.98983e-19,1.39068e-22,3.00208e-16,6.60519e-16
27,6750,131.927607256,828.51145130954406787,3.10744e-19,1.44597e-22,2.73851e-16,4.41765e-16
28,7000,136.85049697,859.42742550325009312,3.22503e-19,1.5012e-22,2.21499e-16,2.37858e-16
29,7250,141.695718833,889.85564201788367298,3.34206e-19,1.55777e-22,1.57961e-16,1.25507e-16
30,7500,146.356851419,919.12776938937044409,3.43564e-19,1.60239e-22,1.52566e-16,1.18833e-16
31,7750,151.187484007,949.46436458429593634,3.55308e-19,1.65788e-22,2.38507e-16,2.27346e-16
32,8000,156.100199276,980.31644279741355074,3.67071e-19,1.71308e-22,3.42923e-16,4.65983e-16
33,8250,161.044597015,1011.3674883785111575,3.78832e-19,1.76831e-22,4.52543e-16,8.79844e-16
34,8500,166.00108651,1042.4944707482833064,3.90594e-19,1.82373e-22,5.26203e-16,1.21519e-15
35,8750,170.956760245,1073.6163301043692494,4.02356e-19,1.87927e-22,5.13308e-16,1.0062e-15
36,9000,175.897383356,1104.6436708505590896,4.14117e-19,1.93468e-22,4.33123e-16,5.79783e-16
37,9250,180.795417003,1135.4035477966908726,4.25881e-19,1.99023e-22,3.26673e-16,2.97678e-16
38,9500,185.544239333,1165.2263708051466022,4.35753e-19,2.05862e-22,2.22296e-16,1.70886e-16
39,9750,190.262852452,1194.8594785748877963,4.47091e-19,2.09148e-22,3.09848e-16,2.56861e-16
40,10000,195.141638873,1225.498482056657248,4.58858e-19,2.14656e-22,4.61094e-16,5.11876e-16
