sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err
0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,365,19.9863107461,7300.0,3.44557e-36,1.48663e-38,0.0,0.0
2,730,39.9726214921,14600.0,3.43159e-36,3.65687e-38,0.0,0.0
3,1095,59.9589322382,21900.0,4.67518e-36,5.76945e-38,0.0,0.0
4,1460,79.9452429843,29200.0,2.4803e-36,7.15743e-38,0.0,0.0
5,1825,99.9315537303,36500.0,3.26445e-36,9.2927e-38,0.0,0.0
6,2190,119.917864476,43800.0,3.41628e-36,1.14453e-37,0.0,0.0
7,2555,139.904175222,51100.0,4.3367e-36,1.28442e-37,0.0,0.0
8,2920,159.890485969,58400.0,3.82027e-36,1.49039e-37,0.0,0.0
9,3285,179.876796715,65700.0,3.93396e-36,1.70614e-37,0.0,0.0
10,3650,199.863107461,73000.0,3.97387e-36,1.85784e-37,0.0,0.0
11,4015,219.849418207,80300.0,4.45285e-36,2.05106e-37,0.0,0.0
12,4380,239.835728953,87600.0,4.5241e-36,2.26628e-37,0.0,0.0
13,4745,259.822039699,94900.0,4.6302e-36,2.43884e-37,0.0,0.0
14,5110,279.808350445,102200.0,4.68628e-36,2.61398e-37,0.0,0.0
15,5475,299.794661191,109500.0,4.91018e-36,2.82921e-37,0.0,0.0
16,5479,300.013689254,109580.0,4.9043e-36,2.82931e-37,0.0,0.0
