step,rel_energy_diff,max_rel_coord_diff
0,0.0,0.0
730,9.74182e-35,4.02622e-35
1460,6.40883e-35,1.41417e-34
2190,1.14996e-35,2.27888e-34
2920,1.77088e-34,3.52028e-34
3650,8.42405e-36,5.65336e-34
4380,2.15988e-34,7.97498e-34
5110,4.6938e-35,7.46775e-34
5840,7.37443e-35,6.49659e-34
6570,1.61055e-34,7.17955e-34
7300,1.08637e-34,5.51089e-34
8030,3.51777e-35,4.57913e-34
8760,9.18731e-35,5.03081e-34
9490,1.29938e-35,3.24832e-34
10220,7.24145e-35,2.32232e-34
10950,6.16931e-35,2.00583e-34
10958,2.09e-34,2.21499e-34
