step,rel_energy_diff,max_rel_coord_diff
0,0.0,0.0
401,2.72518e-17,7.16625e-16
802,1.5341e-16,3.4947e-15
1203,1.71768e-16,6.96913e-15
1604,2.14402e-16,7.465e-15
2005,2.63955e-16,1.17427e-14
2406,2.41882e-16,1.52817e-14
2807,1.35396e-16,1.8553e-14
3208,3.46259e-16,2.37711e-14
3609,1.19877e-16,2.78998e-14
4010,6.89233e-17,3.39187e-14
4411,5.52356e-16,4.39405e-14
4812,2.38678e-16,5.5647e-14
5213,7.6206e-16,6.78182e-14
5614,3.60614e-16,8.01523e-14
6015,3.62287e-16,8.98347e-14
6416,6.23064e-16,9.72696e-14
6817,5.01595e-16,1.04723e-13
7218,4.42148e-17,1.12563e-13
7619,5.61123e-16,1.17963e-13
8020,3.54938e-16,1.22549e-13
8038,1.9803e-16,1.64889e-13
