sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err
0,0,0.0,0.0,0.0,0.0,0.0,1.55498e-61
1,502,4.9959824588,31.375,1.43996e-21,4.52186e-23,5.39744e-20,1.24387e-19
2,1004,9.99196491761,62.75,2.76483e-21,9.04838e-23,2.15306e-19,4.93698e-19
3,1506,14.9879473764,94.125,3.97673e-21,1.3583e-22,4.82417e-19,1.09697e-18
4,2008,19.9839298352,125.5,5.17264e-21,1.81278e-22,8.52745e-19,1.91697e-18
5,2510,24.979912294,156.875,6.43465e-21,2.26836e-22,1.32287e-18,2.93161e-18
6,3012,29.9758947528,188.25,7.76879e-21,2.725e-22,1.88869e-18,4.11556e-18
7,3514,34.9718772116,219.625,9.13191e-21,3.18256e-22,2.5456e-18,5.44189e-18
8,4016,39.9678596704,251.0,1.04847e-20,3.64088e-22,3.2887e-18,6.8836e-18
9,4518,44.9638421292,282.375,1.18151e-20,4.0998e-22,4.11296e-18,8.41489e-18
10,5020,49.959824588,313.75,1.31306e-20,4.55915e-22,5.01333e-18,1.00121e-17
11,5522,54.9558070468,345.125,1.44423e-20,5.01882e-22,5.98485e-18,1.16543e-17
12,6024,59.9517895056,376.5,1.57569e-20,5.4787e-22,7.02277e-18,1.33234e-17
13,6526,64.9477719645,407.875,1.7076e-20,5.93872e-22,8.12258e-18,1.50046e-17
14,7028,69.9437544233,439.25,1.83984e-20,6.39884e-22,9.28005e-18,1.66857e-17
15,7530,74.9397368821,470.625,1.97224e-20,6.85901e-22,1.04913e-17,1.83573e-17
16,8032,79.9357193409,502.0,2.10468e-20,7.31923e-22,1.17526e-17,2.00124e-17
17,8534,84.9317017997,533.375,2.23712e-20,7.77947e-22,1.30607e-17,2.16457e-17
18,9036,89.9276842585,564.75,2.36954e-20,8.23972e-22,1.44125e-17,2.32537e-17
19,9538,94.9236667173,596.125,2.50193e-20,8.69999e-22,1.58053e-17,2.48343e-17
20,10040,99.9196491761,627.5,2.63431e-20,9.16026e-22,1.72365e-17,2.63864e-17
21,10048,99.9992664264,628.0,2.65006e-20,9.2041e-22,2.15877e-17,4.98508e-17
