sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err
0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,730,19.9863107461,7300.0,1.04489e-40,4.53659e-43,0.0,0.0
2,1460,39.9726214921,14600.0,1.0407e-40,1.11601e-42,0.0,0.0
3,2190,59.9589322382,21900.0,1.41695e-40,1.76081e-42,0.0,0.0
4,2920,79.9452429843,29200.0,7.52465e-41,2.18441e-42,0.0,0.0
5,3650,99.9315537303,36500.0,9.90538e-41,2.83606e-42,0.0,0.0
6,4380,119.917864476,43800.0,1.03769e-40,3.49307e-42,0.0,0.0
7,5110,139.904175222,51100.0,1.31627e-40,3.92004e-42,0.0,0.0
8,5840,159.890485969,58400.0,1.15984e-40,4.54861e-42,0.0,0.0
9,6570,179.876796715,65700.0,1.19444e-40,5.20708e-42,0.0,0.0
10,7300,199.863107461,73000.0,1.20713e-40,5.67015e-42,0.0,0.0
11,8030,219.849418207,80300.0,1.35284e-40,6.25978e-42,0.0,0.0
12,8760,239.835728953,87600.0,1.37464e-40,6.91662e-42,0.0,0.0
13,9490,259.822039699,94900.0,1.40699e-40,7.44338e-42,0.0,0.0
14,10220,279.808350445,102200.0,1.42424e-40,7.97779e-42,0.0,0.0
15,10950,299.794661191,109500.0,1.49252e-40,8.63467e-42,0.0,0.0
16,10958,300.013689254,109580.0,1.49072e-40,8.63498e-42,0.0,0.0
