step,rel_energy_diff,max_rel_coord_diff
0,0.0,0.0
730,3.45974e-17,2.52693e-16
1460,1.54197e-16,4.95045e-16
2190,2.54264e-17,9.91423e-16
2920,3.08794e-17,7.93874e-16
3650,1.38236e-16,1.26539e-15
4380,2.63587e-17,1.34669e-15
5110,2.45648e-18,2.02058e-15
5840,1.42035e-16,2.26864e-15
6570,1.17273e-17,2.22213e-15
7300,2.48042e-16,1.61313e-15
8030,3.07435e-16,1.84941e-15
8760,1.95194e-16,2.12266e-15
9490,3.7225e-16,3.84694e-15
10220,6.04348e-16,6.56905e-15
10950,4.38989e-16,8.28863e-15
11680,4.21195e-16,1.26427e-14
12410,4.20627e-16,1.26986e-14
13140,5.76882e-16,1.75673e-14
13870,6.55249e-16,1.81706e-14
14600,5.973e-16,2.35355e-14
15330,5.09235e-16,2.15148e-14
16060,3.83082e-16,3.18808e-14
16790,4.13178e-16,2.38807e-14
17520,4.86911e-16,4.02341e-14
18250,5.03314e-16,2.94365e-14
18980,4.83104e-16,4.51481e-14
19710,6.85117e-16,4.06594e-14
20440,5.60876e-16,5.25019e-14
21170,7.31644e-16,5.11185e-14
21900,9.16511e-16,6.44228e-14
21915,8.86194e-16,6.19344e-14
