step,rel_energy_diff,max_rel_coord_diff
0,0.0,0.0
502,8.33209e-17,1.32524e-14
1004,1.7236e-16,9.48585e-15
1506,2.3888e-16,9.1989e-14
2008,1.03258e-15,2.00328e-13
2510,1.28375e-15,3.19333e-13
3012,3.64362e-16,3.81235e-13
3514,1.17633e-17,3.98694e-13
4016,3.25398e-16,4.0492e-13
4518,1.19074e-16,4.14848e-13
5020,5.17409e-16,3.48364e-13
5522,5.81626e-16,2.72913e-13
6024,5.76366e-16,2.43179e-13
6526,3.10044e-16,2.29075e-13
7028,2.31691e-16,2.16234e-13
7530,4.64412e-17,2.03039e-13
8032,3.30995e-17,2.02395e-13
8534,3.20052e-16,2.23164e-13
9036,4.27247e-16,2.72865e-13
9538,5.77464e-16,3.49372e-13
10040,2.08702e-16,4.09575e-13
10048,1.86204e-16,6.21454e-13
