step,rel_energy_diff,max_rel_coord_diff
0,0.0,0.0
401,6.03386e-35,8.48648e-35
802,3.8325e-34,6.26695e-34
1203,2.39786e-34,1.02293e-33
1604,1.12935e-34,4.88651e-34
2005,4.50232e-35,8.0622e-34
2406,1.30842e-34,2.32943e-33
2807,2.7273e-34,6.1372e-34
3208,5.97599e-35,1.14283e-33
3609,1.9243e-34,1.83237e-33
4010,1.13529e-34,3.1794e-33
4411,2.65546e-34,7.10719e-33
4812,1.71762e-34,1.0116e-32
5213,6.78913e-35,1.4333e-32
5614,2.765e-34,1.86041e-32
6015,9.33617e-36,2.31381e-32
6416,5.58478e-35,2.80302e-32
6817,1.31149e-34,3.38526e-32
7218,7.15074e-34,4.31797e-32
7619,3.72019e-34,5.16595e-32
8020,1.56405e-34,5.69349e-32
8038,2.6701e-34,7.64761e-32
