sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err
0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,365,39.9726214921,14600.0,1.19841e-16,5.65542e-17,0.0,0.0
2,730,79.9452429843,29200.0,7.53819e-17,5.38949e-17,0.0,0.0
3,1095,119.917864476,43800.0,2.68343e-16,1.1419e-16,0.0,0.0
4,1460,159.890485969,58400.0,3.09352e-16,1.24518e-16,0.0,0.0
5,1825,199.863107461,73000.0,7.52867e-17,4.81702e-17,0.0,0.0
6,2190,239.835728953,87600.0,3.63772e-16,1.46042e-16,0.0,0.0
7,2555,279.808350445,102200.0,2.45798e-16,1.04403e-16,0.0,0.0
8,2920,319.780971937,116800.0,6.07804e-16,2.49913e-16,0.0,0.0
9,3285,359.753593429,131400.0,5.76583e-16,2.35618e-16,0.0,0.0
10,3650,399.726214921,146000.0,5.39228e-16,1.96215e-16,0.0,0.0
11,4015,439.698836413,160600.0,8.09062e-16,2.95526e-16,0.0,0.0
12,4380,479.671457906,175200.0,5.18854e-16,1.87388e-16,0.0,0.0
13,4745,519.644079398,189800.0,3.49144e-16,1.32252e-16,0.0,0.0
14,5110,559.61670089,204400.0,4.12643e-16,1.57127e-16,0.0,0.0
15,5475,599.589322382,219000.0,1.26586e-16,4.21313e-17,0.0,0.0
16,5840,639.561943874,233600.0,1.77897e-16,7.24893e-17,0.0,0.0
17,6205,679.534565366,248200.0,3.21768e-16,1.26415e-16,0.0,0.0
18,6570,719.507186858,262800.0,5.52935e-16,2.02551e-16,0.0,0.0
19,6935,759.47980835,277400.0,5.07639e-16,1.80799e-16,0.0,0.0
20,7300,799.452429843,292000.0,7.14856e-16,2.45972e-16,0.0,0.0
21,7665,839.425051335,306600.0,7.97258e-16,2.92598e-16,0.0,0.0
22,8030,879.397672827,321200.0,4.58376e-16,1.47249e-16,0.0,0.0
23,8395,919.370294319,335800.0,6.44542e-16,2.2327e-16,0.0,0.0
24,8760,959.342915811,350400.0,6.59492e-16,2.2659e-16,0.0,0.0
25,9125,999.315537303,365000.0,7.74327e-16,2.91211e-16,0.0,0.0
26,9490,1039.2881588,379600.0,6.8114e-16,2.41163e-16,0.0,0.0
27,9855,1079.26078029,394200.0,9.92266e-16,3.62411e-16,0.0,0.0
28,10220,1119.23340178,408800.0,8.62417e-16,2.9417e-16,0.0,0.0
29,10585,1159.20602327,423400.0,1.06328e-15,3.6958e-16,0.0,0.0
30,10950,1199.17864476,438000.0,1.02008e-15,3.57231e-16,0.0,0.0
31,10958,1200.05475702,438320.0,1.21128e-15,4.13803e-16,0.0,0.0
