sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err
0,0,0.0,0.0,0.0,0.0,0.0,1.55498e-61
1,401,0.498851834158,3.1328125,9.11208e-35,7.1301e-35,1.42983e-34,3.95833e-35
2,802,0.997703668317,6.265625,1.20437e-34,8.73e-36,4.49934e-35,1.37914e-34
3,1203,1.49655550248,9.3984375,2.2994e-35,7.79744e-36,1.01789e-34,2.89753e-35
4,1604,1.99540733663,12.53125,3.83967e-34,9.16183e-35,4.17334e-34,8.88623e-34
5,2005,2.49425917079,15.6640625,7.62616e-35,6.75571e-35,1.95248e-34,2.10545e-34
6,2406,2.99311100495,18.796875,4.54987e-34,1.14703e-34,1.56983e-33,3.54629e-33
7,2807,3.49196283911,21.9296875,1.73685e-35,4.06621e-35,6.66813e-34,5.91527e-34
8,3208,3.99081467327,25.0625,3.44194e-34,1.15504e-34,3.47875e-33,7.91118e-33
9,3609,4.48966650743,28.1953125,3.24159e-34,2.16716e-34,1.53583e-33,1.23726e-33
10,4010,4.98851834158,31.328125,1.78144e-34,7.01029e-35,6.66556e-33,1.50893e-32
11,4411,5.48737017574,34.4609375,2.31466e-34,1.60288e-34,2.45567e-33,1.97174e-33
12,4812,5.9862220099,37.59375,1.81493e-34,1.02626e-34,9.22612e-33,2.07466e-32
13,5213,6.48507384406,40.7265625,6.64776e-35,2.47627e-35,3.27378e-33,2.66028e-33
14,5614,6.98392567822,43.859375,4.96744e-35,7.22749e-35,1.21305e-32,2.71462e-32
15,6015,7.48277751238,46.9921875,1.13309e-34,8.57712e-35,4.1321e-33,3.27184e-33
16,6416,7.98162934654,50.125,1.91444e-35,7.14319e-35,1.33592e-32,2.97682e-32
17,6817,8.48048118069,53.2578125,3.43083e-35,5.75397e-35,4.64519e-33,3.6248e-33
18,7218,8.97933301485,56.390625,2.4415e-34,8.77635e-36,1.46131e-32,3.23351e-32
19,7619,9.47818484901,59.5234375,2.47639e-35,2.47914e-35,4.88985e-33,3.87652e-33
20,8020,9.97703668317,62.65625,3.26242e-34,1.23087e-34,1.53585e-32,3.35373e-32
21,8038,9.99942903483,62.796875,1.33623e-34,3.66446e-35,1.58324e-32,3.64621e-32
