sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err
0,0,0.0,0.0,0.0,0.0,0.0,1.55498e-61
1,2500,4.95506858268,31.118058973072534326,1.72598e-16,3.59427e-17,1.74924e-15,3.3676e-15
2,5000,9.89403663288,62.135005860466160616,3.32441e-16,1.29579e-16,7.16474e-15,9.40336e-15
3,7500,14.7901190708,92.882629127072539574,4.35044e-17,2.98784e-17,1.04639e-14,9.49358e-15
4,10000,19.5469958951,122.75603472714629402,2.16481e-16,2.15086e-16,9.69177e-15,7.23782e-15
5,12500,24.2460085917,152.26605093960178158,6.91847e-17,1.04364e-16,1.94727e-14,1.63561e-14
6,15000,29.125303561,182.90824812970537152,3.57679e-16,2.5998e-16,3.20372e-14,3.80628e-14
7,17500,34.0578921716,213.88513184217100593,1.88333e-17,9.95659e-17,3.73961e-14,6.64633e-14
8,20000,39.0100235106,244.9847447897038861,2.3884e-16,1.69773e-17,2.71603e-14,6.23389e-14
9,22500,43.9653591301,276.1044807664021898,5.17051e-17,5.66982e-17,1.08631e-14,2.27926e-14
10,25000,48.9090540899,307.15111286383225498,2.42442e-16,8.7802e-17,1.52978e-15,1.76743e-15
11,27500,53.8179760269,337.97936877632516746,4.9899e-17,1.39952e-16,6.55553e-15,6.04221e-15
12,30000,58.6232787686,368.15689136870063613,2.24708e-16,3.0762e-17,7.50325e-15,5.86681e-15
13,32500,63.2854369551,397.43545955953812384,8.39647e-17,1.35649e-16,9.73553e-15,8.35793e-15
14,35000,68.1443293772,427.94952781376600017,6.31281e-18,1.50193e-16,1.30877e-14,1.46591e-14
15,37500,73.0696915262,458.88102901455657612,7.89059e-17,1.86888e-16,1.48886e-14,2.47065e-14
16,40000,78.0192949371,489.96476645694125029,4.67281e-16,2.67115e-16,8.27295e-15,1.83053e-14
17,42500,82.9751588315,521.08782002410543547,3.83955e-16,1.55002e-16,7.88249e-16,1.18945e-15
18,45000,87.9226585014,552.15834587677988289,7.72639e-17,2.22076e-16,5.13388e-15,8.53503e-15
19,47500,92.8419408584,583.0516657036578862,3.42864e-16,3.432e-16,1.28313e-14,1.37542e-14
20,50000,97.681260175,613.44281395358721617,2.42799e-16,2.31926e-16,1.53341e-14,1.20918e-14
21,52500,102.333672223,642.66017594866842872,1.3801e-16,2.31507e-16,2.28421e-14,1.73698e-14
22,55000,107.165981663,673.00730184450466918,4.51808e-17,1.69612e-16,3.7472e-14,3.74726e-14
23,57500,112.082483251,703.88315831723711125,3.12814e-17,1.87057e-16,5.44263e-14,8.19144e-14
24,60000,117.028841442,734.94651562625723572,1.34428e-16,2.24815e-16,7.60128e-14,1.61948e-13
25,62500,121.984597585,766.06889251424298785,1.41283e-16,2.21189e-16,9.27551e-14,2.0974e-13
26,65000,126.935112028,797.15835127687079237,8.14104e-17,3.05532e-16,9.16949e-14,1.56777e-13
27,67500,131.862805363,828.10449243662265321,8.44787e-17,1.57974e-16,7.37659e-14,8.41401e-14
28,70000,136.727317649,858.65385369615343155,1.04522e-16,2.89063e-16,5.09504e-14,4.23313e-14
29,72500,141.394631742,887.96480121806071866,1.94931e-16,3.22975e-16,4.18068e-14,3.12167e-14
30,75000,146.190890619,918.08552792108591396,4.76269e-17,3.09506e-16,6.32585e-14,5.87143e-14
31,77500,151.0964939,948.89294252056593823,1.12121e-17,2.80209e-16,9.2801e-14,1.2811e-13
32,80000,156.038790949,979.93079567559757111,4.61774e-16,4.16084e-16,1.3247e-13,2.66758e-13
33,82500,160.993805,1011.0485121868568085,3.22507e-16,3.79436e-16,1.64385e-13,3.7871e-13
34,85000,165.946632055,1042.152494263227237,2.96814e-16,3.51431e-16,1.60901e-13,2.96313e-13
35,87500,170.881170204,1073.1416211643365814,2.07224e-16,1.88471e-16,1.29325e-13,1.60141e-13
36,90000,175.765067497,1103.8127211606732207,1.43919e-16,2.30267e-16,9.03742e-14,7.84925e-14
37,92500,180.474853679,1133.3903953547733782,1.75905e-16,2.60648e-16,6.28756e-14,4.74883e-14
38,95000,185.219890377,1163.1894444181424013,1.5007e-16,3.26313e-16,8.8002e-14,7.65381e-14
39,97500,190.11199651,1193.9120963060955905,1.31422e-17,3.93373e-16,1.16018e-13,1.46599e-13
40,100000,195.049274001,1224.9184264017263532,2.48135e-17,3.27675e-16,1.29827e-13,2.4401e-13
