step,rel_energy_diff,max_rel_coord_diff
0,0.0,0.0
365,1.19841e-16,1.79629e-16
730,7.53819e-17,5.11364e-16
1095,2.68343e-16,1.22231e-15
1460,3.09352e-16,2.11393e-15
1825,7.52867e-17,4.52251e-15
2190,3.63772e-16,4.7043e-15
2555,2.45798e-16,6.86206e-15
2920,6.07804e-16,8.781e-15
3285,5.76583e-16,1.13476e-14
3650,5.39228e-16,1.46675e-14
4015,8.09062e-16,1.86243e-14
4380,5.18854e-16,1.98732e-14
4745,3.49144e-16,2.344e-14
5110,4.12643e-16,2.49297e-14
5475,1.26586e-16,2.32153e-14
5840,1.77897e-16,2.98748e-14
6205,3.21768e-16,2.52852e-14
6570,5.52935e-16,3.24455e-14
6935,5.07639e-16,3.0508e-14
7300,7.14856e-16,3.68768e-14
7665,7.97258e-16,3.31876e-14
8030,4.58376e-16,4.77733e-14
8395,6.44542e-16,3.48057e-14
8760,6.59492e-16,5.74923e-14
9125,7.74327e-16,4.03754e-14
9490,6.8114e-16,6.08225e-14
9855,9.92266e-16,5.42984e-14
10220,8.62417e-16,6.91041e-14
10585,1.06328e-15,6.82469e-14
10950,1.02008e-15,8.53105e-14
10958,1.21128e-15,8.11142e-14
