step,rel_energy_diff,max_rel_coord_diff
0,0.0,0.0
502,1.91046e-34,1.76145e-32
1004,2.13249e-35,2.11264e-32
1506,1.16806e-34,2.59468e-32
2008,2.59392e-34,7.06351e-32
2510,6.45538e-34,1.44768e-31
3012,9.00035e-34,2.10238e-31
3514,3.46641e-34,2.87403e-31
4016,9.05103e-34,3.93477e-31
4518,6.17581e-36,4.12973e-31
5020,2.63152e-34,4.13697e-31
5522,7.26186e-34,4.29313e-31
6024,3.69038e-34,4.56179e-31
6526,1.99307e-34,4.65274e-31
7028,1.29576e-34,4.39259e-31
7530,2.43814e-35,4.27623e-31
8032,8.29886e-34,4.61159e-31
8534,3.59455e-34,5.31883e-31
9036,8.51642e-34,6.03747e-31
9538,1.33991e-33,7.39073e-31
10040,1.02299e-33,8.64269e-31
10048,1.29883e-33,1.31971e-30
